Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1457431200.0 10224.0 NA 142 218 0 NA 191 304 0 NA 5291 6270 741 NA 14227 14337 751
1457431200.0 10225.0 NA 143 229 0 NA 195 303 0 NA 5420 5726 697 NA 14598 14838 702
1457431200.0 1303.0 73 158 193 NA 121 189 249 NA 16610 1527 2507 NA 16655 1550 2548 NA
1457431200.0 134.806 NA 144 263 0 NA 195 318 0 NA 4944 17816 1076 NA 4986 17868 1081
1457431200.0 134.807 NA 186 281 0 NA 231 331 0 NA 5132 16049 1234 NA 5232 16093 1240
1457431200.0 250200.0 NA 327 282 0 NA 425 423 0 NA 18944 5786 2022 NA 19826 5838 2033
1457431200.0 250202.0 NA 215 287 0 NA 280 353 0 NA 23648 7231 2020 NA 24284 7290 2028
1457431200.0 250203.0 NA 211 286 0 NA 271 353 0 NA 19772 6130 2052 NA 20206 6172 2059
1457431200.0 250204.0 NA 214 278 0 NA 273 348 0 NA 21073 5991 1997 NA 22109 6047 2002
1457431200.0 250205.0 NA 206 280 0 NA 272 347 0 NA 19113 5440 2122 NA 21376 5489 2127
1457431200.0 250206.0 NA 217 286 0 NA 270 351 0 NA 19940 7180 2068 NA 20348 7233 2073
1457431200.0 250207.0 NA 205 276 0 NA 264 347 0 NA 17575 5231 2007 NA 18538 5281 2012
1457431200.0 25202.0 NA 194 330 0 NA 257 406 0 NA 5449 8109 1903 NA 12169 11057 1909
1457431200.0 25206.0 NA 200 325 0 NA 261 411 0 NA 6002 9103 1925 NA 9600 12363 1930
1457431200.0 25208.0 NA 204 331 0 NA 262 412 0 NA 6685 11970 2080 NA 9990 14979 2087
1457431200.0 25209.0 NA 202 326 0 NA 258 416 0 NA 5458 8533 1998 NA 8739 11576 2006
