Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1458208800.0 1.0 60 80 143 NA NA NA NA 108 152 191 NA NA NA NA 4259 799 781 NA NA NA NA 4278 804 821 NA NA NA NA
1458208800.0 10.0 NA 86 218 0 NA NA NA NA 160 268 0 NA NA NA NA 5010 4847 1230 NA NA NA NA 5036 4861 1287 NA NA NA
1458208800.0 1000.0 NA 224 129 0 56 NA NA NA 288 178 0 85 NA NA NA 4801 906 1196 208 NA NA NA 4821 940 1201 238 NA NA
1458208800.0 1001.0 NA 197 213 0 0 0 0 NA 256 248 0 0 0 0 NA 4131 734 102 95 1285 52 NA 4152 747 105 98 1287 62
1458208800.0 1002.0 NA 228 69 NA NA NA NA NA 291 104 NA NA NA NA NA 3808 350 NA NA NA NA NA 3896 371 NA NA NA NA
1458208800.0 10021.0 NA 91 157 0 NA NA NA NA 183 233 0 NA NA NA NA 1762 1991 617 NA NA NA NA 1813 2018 629 NA NA NA
1458208800.0 10023.0 NA 91 157 0 NA NA NA NA 184 233 0 NA NA NA NA 1535 1447 511 NA NA NA NA 1582 1539 573 NA NA NA
1458208800.0 10024.0 NA 96 159 0 NA NA NA NA 184 234 0 NA NA NA NA 1760 1841 751 NA NA NA NA 1794 1879 772 NA NA NA
1458208800.0 10025.0 NA 91 154 0 NA NA NA NA 184 233 0 NA NA NA NA 1637 1470 675 NA NA NA NA 1752 1509 687 NA NA NA
1458208800.0 10026.0 NA 95 157 0 NA NA NA NA 184 234 0 NA NA NA NA 1737 2041 731 NA NA NA NA 1824 2066 738 NA NA NA
1458208800.0 1003.0 NA 190 0 NA NA NA NA NA 263 0 NA NA NA NA NA 6476 751 NA NA NA NA NA 6531 758 NA NA NA NA
1458208800.0 1004.0 NA 191 167 0 0 0 NA NA 248 198 0 0 0 NA NA 1220 406 120 117 1299 NA NA 1231 410 124 126 1301 NA
1458208800.0 101.0 90 NA NA NA NA NA NA 150 NA NA NA NA NA NA 2778 NA NA NA NA NA NA 2876 NA NA NA NA NA NA
1458208800.0 102.0 91 NA NA NA NA NA NA 150 NA NA NA NA NA NA 2343 NA NA NA NA NA NA 2423 NA NA NA NA NA NA
1458208800.0 10224.0 NA 133 230 0 NA NA NA NA 192 304 0 NA NA NA NA 5391 6320 744 NA NA NA NA 14537 14225 750 NA NA NA
1458208800.0 10225.0 NA 133 242 0 NA NA NA NA 196 304 0 NA NA NA NA 5486 5807 700 NA NA NA NA 14655 14979 706 NA NA NA
1458208800.0 103.0 55 86 209 NA NA NA NA 100 153 261 NA NA NA NA 1552 451 897 NA NA NA NA 1633 461 910 NA NA NA NA
1458208800.0 105.0 60 82 31 NA NA NA NA 108 154 60 NA NA NA NA 3714 756 5 NA NA NA NA 3800 763 8 NA NA NA NA
1458208800.0 106.0 44 0 0 NA NA NA NA 85 0 0 NA NA NA NA 856 174 384 NA NA NA NA 861 178 622 NA NA NA NA
1458208800.0 107.0 59 85 215 NA NA NA NA 109 154 261 NA NA NA NA 7229 919 1110 NA NA NA NA 7239 927 1118 NA NA NA NA
1458208800.0 108.0 62 86 211 NA NA NA NA 112 153 262 NA NA NA NA 10336 897 1310 NA NA NA NA 10343 909 1322 NA NA NA NA
1458208800.0 109.0 63 100 210 NA NA NA NA 112 154 263 NA NA NA NA 11660 958 1525 NA NA NA NA 11669 967 1538 NA NA NA NA
1458208800.0 11.0 NA 84 222 0 63 NA NA NA 159 274 0 96 NA NA NA 4252 1982 1277 99 NA NA NA 4341 1997 1285 104 NA NA
1458208800.0 110.0 54 82 209 NA NA NA NA 94 153 261 NA NA NA NA 1307 798 942 NA NA NA NA 1343 804 952 NA NA NA NA
1458208800.0 1102.0 NA 86 212 130 84 NA NA NA 159 267 175 112 NA NA NA 4970 6428 3763 253 NA NA NA 5005 6444 3774 255 NA NA
1458208800.0 111.0 60 84 209 NA NA NA NA 108 154 261 NA NA NA NA 3811 620 895 NA NA NA NA 3832 645 945 NA NA NA NA
1458208800.0 112.0 61 85 213 NA NA NA NA 110 154 261 NA NA NA NA 7060 908 1072 NA NA NA NA 7069 918 1083 NA NA NA NA
1458208800.0 113.0 60 83 211 NA NA NA NA 111 154 261 NA NA NA NA 6920 911 1068 NA NA NA NA 6928 922 1081 NA NA NA NA
1458208800.0 114.0 60 85 211 NA NA NA NA 109 154 261 NA NA NA NA 6553 875 1107 NA NA NA NA 6560 883 1118 NA NA NA NA
1458208800.0 115.0 61 85 209 NA NA NA NA 111 154 261 NA NA NA NA 8445 885 1175 NA NA NA NA 8455 896 1186 NA NA NA NA
1458208800.0 116.0 62 100 211 NA NA NA NA 111 154 261 NA NA NA NA 8056 895 1175 NA NA NA NA 8065 905 1188 NA NA NA NA
1458208800.0 117.0 62 86 213 NA NA NA NA 112 154 262 NA NA NA NA 11373 922 1281 NA NA NA NA 11382 928 1291 NA NA NA NA
1458208800.0 118.0 61 96 210 NA NA NA NA 111 154 262 NA NA NA NA 8257 888 1385 NA NA NA NA 8282 894 1397 NA NA NA NA
1458208800.0 119.0 59 85 216 NA NA NA NA 108 154 261 NA NA NA NA 7174 887 1047 NA NA NA NA 7182 895 1057 NA NA NA NA
1458208800.0 12.0 NA 84 211 0 NA NA NA NA 159 266 0 NA NA NA NA 4651 5288 1371 NA NA NA NA 4664 5301 1411 NA NA NA
1458208800.0 120.0 54 80 207 NA NA NA NA 93 153 261 NA NA NA NA 1096 718 971 NA NA NA NA 1101 728 982 NA NA NA NA
1458208800.0 121.0 63 88 212 NA NA NA NA 112 153 262 NA NA NA NA 10940 914 1380 NA NA NA NA 10950 920 1390 NA NA NA NA
1458208800.0 122.0 58 86 212 NA NA NA NA 108 153 261 NA NA NA NA 2635 585 919 NA NA NA NA 2641 594 933 NA NA NA NA
1458208800.0 123.1 196 NA NA NA NA NA NA 250 NA NA NA NA NA NA 1515 NA NA NA NA NA NA 1656 NA NA NA NA NA NA
1458208800.0 123.2 195 NA NA NA NA NA NA 250 NA NA NA NA NA NA 1716 NA NA NA NA NA NA 1726 NA NA NA NA NA NA
1458208800.0 123.3 186 NA NA NA NA NA NA 234 NA NA NA NA NA NA 1183 NA NA NA NA NA NA 1204 NA NA NA NA NA NA
1458208800.0 124.1 192 NA NA NA NA NA NA 243 NA NA NA NA NA NA 1026 NA NA NA NA NA NA 1042 NA NA NA NA NA NA
1458208800.0 124.2 194 NA NA NA NA NA NA 249 NA NA NA NA NA NA 1466 NA NA NA NA NA NA 1515 NA NA NA NA NA NA
1458208800.0 124.4 194 NA NA NA NA NA NA 243 NA NA NA NA NA NA 1077 NA NA NA NA NA NA 1094 NA NA NA NA NA NA
1458208800.0 124.5 193 NA NA NA NA NA NA 243 NA NA NA NA NA NA 1191 NA NA NA NA NA NA 1223 NA NA NA NA NA NA
1458208800.0 124.6 182 NA NA NA NA NA NA 234 NA NA NA NA NA NA 1175 NA NA NA NA NA NA 1189 NA NA NA NA NA NA
1458208800.0 125.0 62 84 210 NA NA NA NA 111 154 261 NA NA NA NA 8306 908 1155 NA NA NA NA 8314 918 1167 NA NA NA NA
1458208800.0 126.0 54 81 204 NA NA NA NA 99 153 261 NA NA NA NA 3180 803 1054 NA NA NA NA 3189 813 1072 NA NA NA NA
1458208800.0 127.0 53 81 211 NA NA NA NA 99 153 261 NA NA NA NA 2729 797 950 NA NA NA NA 2739 805 1074 NA NA NA NA
1458208800.0 128.0 56 82 206 NA NA NA NA 98 153 261 NA NA NA NA 1051 815 933 NA NA NA NA 1056 824 946 NA NA NA NA
1458208800.0 129.0 53 81 209 NA NA NA NA 93 153 261 NA NA NA NA 1121 802 944 NA NA NA NA 1126 808 953 NA NA NA NA
1458208800.0 13.0 NA 82 212 0 NA NA NA NA 159 262 0 NA NA NA NA 763 2062 1155 NA NA NA NA 809 2073 1163 NA NA NA
1458208800.0 130.0 56 91 209 NA NA NA NA 99 153 261 NA NA NA NA 1227 795 873 NA NA NA NA 1279 808 883 NA NA NA NA
1458208800.0 1301.0 66 130 185 NA NA NA NA 114 186 240 NA NA NA NA 3011 1096 911 NA NA NA NA 3032 1118 949 NA NA NA NA
1458208800.0 1302.0 72 147 187 NA NA NA NA 120 186 243 NA NA NA NA 13619 1335 1510 NA NA NA NA 13657 1372 1541 NA NA NA NA
1458208800.0 1303.0 72 158 188 NA NA NA NA 122 190 249 NA NA NA NA 18659 1530 2729 NA NA NA NA 18700 1564 2763 NA NA NA NA
1458208800.0 1306.0 NA 151 253 0 NA NA NA NA 203 317 0 NA NA NA NA 1084 1363 2066 NA NA NA NA 1108 1384 2071 NA NA NA
1458208800.0 1307.0 NA 134 147 61 0 NA NA NA 195 209 88 0 NA NA NA 905 911 65 633 NA NA NA 943 965 85 638 NA NA
1458208800.0 1308.0 NA 128 146 49 0 NA NA NA 195 209 88 0 NA NA NA 999 785 71 741 NA NA NA 1321 823 81 747 NA NA
1458208800.0 1309.0 NA 163 265 0 NA NA NA NA 210 317 0 NA NA NA NA 1305 1976 2283 NA NA NA NA 1341 1999 2289 NA NA NA
1458208800.0 131.0 54 81 209 NA NA NA NA 100 153 261 NA NA NA NA 3499 828 1019 NA NA NA NA 3512 842 1072 NA NA NA NA
1458208800.0 1310.0 NA 154 259 0 NA NA NA NA 211 317 0 NA NA NA NA 1409 1891 2322 NA NA NA NA 1427 1918 2327 NA NA NA
1458208800.0 1311.0 NA 154 235 0 70 NA NA NA 205 295 0 107 NA NA NA 1070 1380 2267 177 NA NA NA 1118 1426 2275 195 NA NA
1458208800.0 1312.0 NA 160 264 0 NA NA NA NA 210 317 0 NA NA NA NA 1342 1980 2276 NA NA NA NA 1365 2004 2282 NA NA NA
1458208800.0 1313.0 NA 173 262 0 NA NA NA NA 221 323 0 NA NA NA NA 2426 3559 1974 NA NA NA NA 2461 3586 1980 NA NA NA
1458208800.0 1314.0 NA 156 262 0 NA NA NA NA 211 317 0 NA NA NA NA 1296 1799 2217 NA NA NA NA 1323 1823 2228 NA NA NA
1458208800.0 1315.0 NA 151 256 0 NA NA NA NA 203 317 0 NA NA NA NA 1109 1368 2076 NA NA NA NA 1133 1391 2081 NA NA NA
1458208800.0 1316.0 NA 151 260 0 NA NA NA NA 204 317 0 NA NA NA NA 1106 1460 2133 NA NA NA NA 1152 1502 2141 NA NA NA
1458208800.0 1317.0 NA 149 256 0 NA NA NA NA 204 317 0 NA NA NA NA 1117 1400 1989 NA NA NA NA 1145 1436 1997 NA NA NA
1458208800.0 1318.0 NA 152 257 0 NA NA NA NA 203 317 0 NA NA NA NA 1029 1349 2075 NA NA NA NA 1054 1376 2081 NA NA NA
1458208800.0 1319.0 NA 148 254 0 NA NA NA NA 203 317 0 NA NA NA NA 1099 1356 1953 NA NA NA NA 1137 1397 1966 NA NA NA
1458208800.0 132.0 58 83 214 NA NA NA NA 106 153 261 NA NA NA NA 5410 813 883 NA NA NA NA 5422 823 962 NA NA NA NA
1458208800.0 1320.0 NA 150 257 0 NA NA NA NA 205 317 0 NA NA NA NA 1141 1479 2111 NA NA NA NA 1179 1504 2116 NA NA NA
1458208800.0 1321.0 NA 152 257 0 NA NA NA NA 205 317 0 NA NA NA NA 1203 1574 2092 NA NA NA NA 1234 1616 2108 NA NA NA
1458208800.0 1322.0 NA 150 257 0 NA NA NA NA 205 317 0 NA NA NA NA 1189 1801 2153 NA NA NA NA 1205 1828 2182 NA NA NA
1458208800.0 1323.0 NA 150 252 0 NA NA NA NA 202 317 0 NA NA NA NA 1061 1355 2027 NA NA NA NA 1078 1379 2032 NA NA NA
1458208800.0 1324.0 NA 155 261 0 NA NA NA NA 210 318 0 NA NA NA NA 1356 2025 2300 NA NA NA NA 1386 2053 2312 NA NA NA
1458208800.0 1325.0 NA 168 260 0 79 NA NA NA 211 317 0 113 NA NA NA 1292 1915 2155 204 NA NA NA 1330 1945 2163 241 NA NA
1458208800.0 1326.0 NA 151 259 0 NA NA NA NA 207 317 0 NA NA NA NA 1226 1630 2236 NA NA NA NA 1251 1655 2242 NA NA NA
1458208800.0 1327.0 NA 164 260 0 NA NA NA NA 209 317 0 NA NA NA NA 1238 1541 2175 NA NA NA NA 1262 1564 2180 NA NA NA
1458208800.0 1328.0 NA 163 263 0 NA NA NA NA 209 317 0 NA NA NA NA 1348 1825 2152 NA NA NA NA 1375 1851 2157 NA NA NA
1458208800.0 1329.0 NA 152 260 0 NA NA NA NA 208 317 0 NA NA NA NA 1209 1648 2267 NA NA NA NA 1228 1677 2274 NA NA NA
1458208800.0 133.0 61 95 211 NA NA NA NA 112 154 263 NA NA NA NA 12408 904 1506 NA NA NA NA 12419 912 1520 NA NA NA NA
1458208800.0 1330.0 NA 164 262 0 NA NA NA NA 210 317 0 NA NA NA NA 1217 1669 2175 NA NA NA NA 1247 1710 2180 NA NA NA
1458208800.0 1331.0 NA 151 259 0 NA NA NA NA 207 317 0 NA NA NA NA 1219 1565 2264 NA NA NA NA 1241 1586 2269 NA NA NA
1458208800.0 1332.0 NA 151 259 0 NA NA NA NA 207 317 0 NA NA NA NA 1316 1783 2158 NA NA NA NA 1387 1812 2164 NA NA NA
1458208800.0 1333.0 NA 151 260 0 NA NA NA NA 206 317 0 NA NA NA NA 1180 1530 2227 NA NA NA NA 1208 1557 2232 NA NA NA
1458208800.0 1334.0 NA 165 262 0 NA NA NA NA 208 317 0 NA NA NA NA 1279 1734 2064 NA NA NA NA 1312 1756 2069 NA NA NA
1458208800.0 1335.0 NA 154 260 0 NA NA NA NA 208 317 0 NA NA NA NA 1231 1538 2206 NA NA NA NA 1252 1559 2211 NA NA NA
1458208800.0 1336.0 NA 164 265 0 NA NA NA NA 214 318 0 NA NA NA NA 1921 3399 2219 NA NA NA NA 1953 3424 2225 NA NA NA
1458208800.0 1337.0 NA 161 269 0 NA NA NA NA 216 322 0 NA NA NA NA 1937 3397 2261 NA NA NA NA 1967 3435 2268 NA NA NA
1458208800.0 1338.0 NA 161 264 0 NA NA NA NA 211 317 0 NA NA NA NA 1377 1927 2230 NA NA NA NA 1405 1956 2236 NA NA NA
1458208800.0 1339.0 NA 167 266 0 NA NA NA NA 213 319 0 NA NA NA NA 1901 2862 2287 NA NA NA NA 1950 2889 2294 NA NA NA
1458208800.0 134.0 NA 227 49 0 NA NA NA NA 292 79 0 NA NA NA NA 4719 12 13 NA NA NA NA 4940 32 25 NA NA NA
1458208800.0 134.701 NA 46 244 0 NA NA NA NA 97 308 0 NA NA NA NA 195 9034 1091 NA NA NA NA 251 9113 1101 NA NA NA
1458208800.0 134.702 NA 43 243 0 NA NA NA NA 95 299 0 NA NA NA NA 354 13998 1220 NA NA NA NA 376 14048 1248 NA NA NA
1458208800.0 134.703 NA 57 249 0 NA NA NA NA 94 315 0 NA NA NA NA 258 13598 1193 NA NA NA NA 284 13644 1198 NA NA NA
1458208800.0 134.704 NA 53 241 0 NA NA NA NA 93 300 0 NA NA NA NA 267 12778 1154 NA NA NA NA 281 12814 1158 NA NA NA
1458208800.0 134.705 NA 49 251 0 NA NA NA NA 97 310 0 NA NA NA NA 276 14645 1253 NA NA NA NA 299 14680 1258 NA NA NA
1458208800.0 134.706 NA 54 249 0 NA NA NA NA 97 311 0 NA NA NA NA 235 14395 1115 NA NA NA NA 243 14433 1122 NA NA NA
1458208800.0 134.707 NA 56 242 0 NA NA NA NA 96 302 0 NA NA NA NA 237 12915 1107 NA NA NA NA 244 12954 1113 NA NA NA
1458208800.0 134.708 NA 47 241 0 NA NA NA NA 95 303 0 NA NA NA NA 260 12000 1218 NA NA NA NA 311 12037 1223 NA NA NA
1458208800.0 134.709 NA 48 250 0 NA NA NA NA 98 312 0 NA NA NA NA 236 13429 1219 NA NA NA NA 247 13474 1225 NA NA NA
1458208800.0 134.71 NA 41 240 0 NA NA NA NA 92 299 0 NA NA NA NA 219 7936 1069 NA NA NA NA 226 7987 1075 NA NA NA
1458208800.0 134.801 NA 131 249 0 NA NA NA NA 195 303 0 NA NA NA NA 2281 9448 1249 NA NA NA NA 2323 9491 1255 NA NA NA
1458208800.0 134.802 NA 131 252 0 NA NA NA NA 193 310 0 NA NA NA NA 4337 17340 1218 NA NA NA NA 4405 17383 1225 NA NA NA
1458208800.0 134.803 NA 144 251 0 NA NA NA NA 196 309 0 NA NA NA NA 4145 15507 1270 NA NA NA NA 4200 15550 1278 NA NA NA
1458208800.0 134.804 NA 136 261 0 NA NA NA NA 195 319 0 NA NA NA NA 4419 16908 1252 NA NA NA NA 4460 16949 1260 NA NA NA
1458208800.0 134.805 NA 137 256 0 NA NA NA NA 203 326 0 NA NA NA NA 4712 16935 1266 NA NA NA NA 4766 16985 1271 NA NA NA
1458208800.0 134.806 NA 141 264 0 NA NA NA NA 196 319 0 NA NA NA NA 5127 18181 1168 NA NA NA NA 5172 18227 1173 NA NA NA
1458208800.0 134.807 NA 187 276 0 NA NA NA NA 231 331 0 NA NA NA NA 5300 16104 1333 NA NA NA NA 5437 16145 1342 NA NA NA
1458208800.0 134.808 NA 174 271 0 NA NA NA NA 229 333 0 NA NA NA NA 5263 17532 1262 NA NA NA NA 5317 17574 1268 NA NA NA
1458208800.0 134.809 NA 131 257 0 NA NA NA NA 195 311 0 NA NA NA NA 4590 15874 1330 NA NA NA NA 4748 15917 1336 NA NA NA
1458208800.0 134.81 NA 138 259 0 NA NA NA NA 194 311 0 NA NA NA NA 4333 15727 1286 NA NA NA NA 4377 15770 1293 NA NA NA
1458208800.0 134.811 NA 131 259 0 NA NA NA NA 203 314 0 NA NA NA NA 4535 17422 1243 NA NA NA NA 4632 17463 1250 NA NA NA
1458208800.0 134.812 NA 133 248 0 NA NA NA NA 187 303 0 NA NA NA NA 2137 9229 1273 NA NA NA NA 2173 9267 1278 NA NA NA
1458208800.0 134.901 NA 128 248 0 NA NA NA NA 193 303 0 NA NA NA NA 2568 9562 1273 NA NA NA NA 2629 9606 1279 NA NA NA
1458208800.0 134.902 NA 138 248 0 NA NA NA NA 192 305 0 NA NA NA NA 3622 12815 1331 NA NA NA NA 3675 12861 1339 NA NA NA
1458208800.0 134.903 NA 128 249 0 NA NA NA NA 194 306 0 NA NA NA NA 3369 11586 1348 NA NA NA NA 3402 11627 1354 NA NA NA
1458208800.0 134.904 NA 139 252 0 NA NA NA NA 197 311 0 NA NA NA NA 4732 14194 1333 NA NA NA NA 4777 14241 1339 NA NA NA
1458208800.0 134.905 NA 130 249 0 NA NA NA NA 194 304 0 NA NA NA NA 3391 11547 1349 NA NA NA NA 3429 11572 1354 NA NA NA
1458208800.0 134.906 NA 133 249 0 NA NA NA NA 194 307 0 NA NA NA NA 4357 13890 1244 NA NA NA NA 4403 13928 1251 NA NA NA
1458208800.0 134.907 NA 179 262 0 NA NA NA NA 233 322 0 NA NA NA NA 4810 12160 1374 NA NA NA NA 4863 12200 1382 NA NA NA
1458208800.0 134.908 NA 191 263 0 NA NA NA NA 231 326 0 NA NA NA NA 4276 12659 1331 NA NA NA NA 4631 12705 1338 NA NA NA
1458208800.0 134.909 NA 135 249 0 NA NA NA NA 195 303 0 NA NA NA NA 3756 12297 1243 NA NA NA NA 3792 12338 1249 NA NA NA
1458208800.0 134.91 NA 128 247 0 NA NA NA NA 194 303 0 NA NA NA NA 3153 10806 1358 NA NA NA NA 3198 10847 1366 NA NA NA
1458208800.0 134.911 NA 130 253 0 NA NA NA NA 195 303 0 NA NA NA NA 3989 12045 1318 NA NA NA NA 4248 12090 1323 NA NA NA
1458208800.0 134.912 NA 129 247 0 NA NA NA NA 187 299 0 NA NA NA NA 2182 8493 1298 NA NA NA NA 2217 8537 1304 NA NA NA
1458208800.0 134.99601 NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA
1458208800.0 134.99602 NA 125 246 0 NA NA NA NA 192 304 0 NA NA NA NA 2371 10752 1233 NA NA NA NA 2422 10794 1238 NA NA NA
1458208800.0 134.99603 NA 143 251 0 NA NA NA NA 193 310 0 NA NA NA NA 4069 15444 1388 NA NA NA NA 4110 15488 1429 NA NA NA
1458208800.0 134.99901 NA 134 248 0 NA NA NA NA 192 306 0 NA NA NA NA 2948 11154 1262 NA NA NA NA 3001 11195 1267 NA NA NA
1458208800.0 1340.0 NA 156 257 0 NA NA NA NA 207 317 0 NA NA NA NA 1161 1499 2092 NA NA NA NA 1202 1535 2098 NA NA NA
1458208800.0 1341.0 NA 170 268 0 NA NA NA NA 213 322 0 NA NA NA NA 1750 2744 2269 NA NA NA NA 1789 2765 2279 NA NA NA
1458208800.0 1343.0 NA 155 257 0 NA NA NA NA 209 317 0 NA NA NA NA 1266 1988 2269 NA NA NA NA 1290 2010 2283 NA NA NA
1458208800.0 1344.0 NA 161 262 0 NA NA NA NA 208 317 0 NA NA NA NA 1240 1658 2211 NA NA NA NA 1272 1687 2241 NA NA NA
