Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1458813600.0 1.0 59 79 144 NA NA NA 107 151 190 NA NA NA 3619 840 745 NA NA NA 3635 870 759 NA NA NA
1458813600.0 10.0 NA 85 212 0 NA NA NA 159 267 0 NA NA NA 4526 4549 1118 NA NA NA 4555 4563 1122 NA NA
1458813600.0 1002.0 NA 227 65 NA NA NA NA 290 103 NA NA NA NA 4376 325 NA NA NA NA 4474 411 NA NA NA
1458813600.0 10021.0 NA 90 202 0 NA NA NA 183 282 0 NA NA NA 1523 2240 1031 NA NA NA 1542 2267 1037 NA NA
1458813600.0 10023.0 NA 92 202 0 NA NA NA 183 281 0 NA NA NA 1492 1427 1024 NA NA NA 1520 1449 1036 NA NA
1458813600.0 10024.0 NA 96 208 0 NA NA NA 183 282 0 NA NA NA 1539 2126 1175 NA NA NA 1580 2150 1186 NA NA
1458813600.0 10025.0 NA 90 203 0 NA NA NA 183 281 0 NA NA NA 1461 1469 1200 NA NA NA 1480 1524 1251 NA NA
1458813600.0 10026.0 NA 95 209 0 NA NA NA 183 282 0 NA NA NA 1335 2498 1112 NA NA NA 1522 2538 1118 NA NA
1458813600.0 1004.0 NA 189 336 0 0 0 NA 247 378 0 0 0 NA 1165 1829 106 91 2388 NA 1179 1915 117 96 2391
1458813600.0 101.0 88 NA NA NA NA NA 149 NA NA NA NA NA 2397 NA NA NA NA NA 2407 NA NA NA NA NA
1458813600.0 102.0 90 NA NA NA NA NA 148 NA NA NA NA NA 1798 NA NA NA NA NA 1818 NA NA NA NA NA
1458813600.0 10224.0 NA 131 279 0 NA NA NA 191 365 0 NA NA NA 5455 8486 1147 NA NA NA 14422 16250 1152 NA NA
