Timestamp WorkflowId PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime2 TotalJobTime3 TotalJobTime4
1459033200.0 10224.0 132 273 0 191 362 0 5485 8562 1145 13905 16315 1151
1459033200.0 10225.0 133 295 0 195 360 0 5778 7593 1118 14923 15810 1125
1459033200.0 134.806 140 263 0 195 318 0 5061 18195 1222 5112 18234 1229
1459033200.0 134.807 188 279 0 231 330 0 5256 16259 1328 5353 16297 1335
1459033200.0 134.808 183 270 0 228 332 0 4803 16493 1237 4862 16528 1247
1459033200.0 250200.0 328 279 0 424 423 0 19589 6032 2115 20182 6069 2122
1459033200.0 250202.0 209 288 0 281 354 0 23461 7255 2173 24113 7295 2178
1459033200.0 250203.0 204 282 0 274 350 0 20851 6770 1939 22228 6812 1949
1459033200.0 250204.0 206 281 0 272 349 0 21197 6031 2021 21634 6060 2029
1459033200.0 250205.0 208 278 0 274 352 0 18661 5377 1964 19035 5416 1970
1459033200.0 250206.0 210 284 0 272 352 0 20961 7281 1930 21510 7327 1937
1459033200.0 250207.0 199 280 0 264 347 0 17784 5208 1997 22767 5235 2002
1459033200.0 25202.0 188 328 0 260 407 0 5542 8850 2140 8988 12975 2145
1459033200.0 25206.0 185 327 0 256 418 0 5866 9333 2140 9436 12444 2147
1459033200.0 25208.0 195 333 0 264 420 0 6743 13099 2081 9723 15828 2090
1459033200.0 4.65 37 253 0 89 305 0 293 22998 1064 320 23022 1070
