Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1459242000.0 10.0 NA 85 212 0 NA NA 159 266 0 NA NA 5048 4835 1226 NA NA 5071 4848 1233 NA
1459242000.0 10224.0 NA 136 283 0 NA NA 194 360 0 NA NA 5485 8997 1262 NA NA 9807 13384 1271 NA
1459242000.0 10225.0 NA 132 275 0 NA NA 193 353 0 NA NA 5230 7155 1170 NA NA 9469 11152 1176 NA
1459242000.0 107.0 59 83 210 NA NA 108 153 260 NA NA 7113 861 1161 NA NA 7122 871 1174 NA NA
1459242000.0 108.0 61 83 213 NA NA 112 153 262 NA NA 10232 880 1363 NA NA 10242 888 1373 NA NA
1459242000.0 109.0 61 86 215 NA NA 112 153 261 NA NA 11609 922 1456 NA NA 11622 930 1467 NA NA
1459242000.0 11.0 NA 83 221 0 61 NA 158 273 0 96 NA 4112 1992 1269 97 NA 4140 2004 1274 102
1459242000.0 1102.0 NA 84 213 137 88 NA 158 266 179 111 NA 5176 6467 3846 292 NA 5211 6482 3854 295
1459242000.0 113.0 59 84 211 NA NA 110 153 260 NA NA 6946 921 1092 NA NA 6955 929 1104 NA NA
1459242000.0 115.0 60 97 211 NA NA 110 153 260 NA NA 8644 905 1192 NA NA 8653 911 1205 NA NA
1459242000.0 116.0 61 92 213 NA NA 110 153 260 NA NA 7877 904 1212 NA NA 7886 916 1224 NA NA
1459242000.0 117.0 61 83 212 NA NA 111 153 261 NA NA 10921 974 1363 NA NA 10932 984 1373 NA NA
1459242000.0 118.0 60 95 211 NA NA 110 153 260 NA NA 8342 925 1323 NA NA 8350 934 1333 NA NA
1459242000.0 119.0 58 83 211 NA NA 108 153 260 NA NA 6938 932 1140 NA NA 6947 940 1152 NA NA
1459242000.0 12.0 NA 83 211 0 NA NA 158 265 0 NA NA 4710 5220 1313 NA NA 4725 5234 1318 NA
1459242000.0 121.0 61 86 211 NA NA 111 153 262 NA NA 10687 993 1391 NA NA 10696 1004 1404 NA NA
1459242000.0 125.0 60 82 212 NA NA 110 153 260 NA NA 8380 839 1136 NA NA 8396 847 1146 NA NA
1459242000.0 1302.0 70 139 186 NA NA 120 186 240 NA NA 13118 1327 1534 NA NA 13160 1362 1562 NA NA
1459242000.0 1303.0 71 158 190 NA NA 120 190 248 NA NA 19231 1578 2845 NA NA 19271 1608 2869 NA NA
1459242000.0 1309.0 NA 156 255 0 NA NA 209 316 0 NA NA 1341 1919 2122 NA NA 1381 1954 2131 NA
1459242000.0 1310.0 NA 151 257 0 NA NA 210 316 0 NA NA 1400 1780 2299 NA NA 1444 1824 2357 NA
