Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueVsize1 PeakValueVsize2 TotalJobCPU1 TotalJobCPU2 TotalJobTime1 TotalJobTime2
1459198800.0 102.0 77 NA 130 NA 1257 NA 1296 NA
1459198800.0 135.8 75 NA 127 NA 434 NA 553 NA
1459198800.0 4.58 NA 0 NA 0 NA 0 NA 0
1459198800.0 4.68 NA 0 NA 0 NA 0 NA 0
1459198800.0 501.0 29 0 59 0 23 16 42 23
1459198800.0 503.0 26 0 60 0 128 17 143 29
1459198800.0 504.0 26 0 60 0 69 16 81 24
1459198800.0 505.0 25 0 60 0 59 17 77 24
1459198800.0 506.0 26 0 60 0 60 18 79 30
1459198800.0 508.0 28 0 60 0 51 15 60 20
1459198800.0 509.0 25 0 59 0 47 19 80 39
1459198800.0 513.0 79 0 126 0 73 15 89 25
1459198800.0 514.0 26 0 60 0 64 19 80 28
1459198800.0 516.0 82 0 126 0 73 16 91 27
1459198800.0 517.0 30 0 60 0 72 18 90 25
1459198800.0 519.0 79 0 126 0 70 15 86 21
1459198800.0 520.0 26 0 60 0 65 18 81 28
1459198800.0 523.0 78 0 126 0 75 17 94 24
1459198800.0 524.0 25 0 61 0 76 18 94 29
1459198800.0 525.0 79 0 126 0 74 16 90 22
1459198800.0 527.0 28 0 61 0 72 18 82 26
1459198800.0 528.0 74 0 126 0 74 16 95 22
1459198800.0 530.0 26 0 61 0 69 19 88 28
1459198800.0 531.0 56 0 172 0 55 17 78 24
