Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1458208800.0 1.0 52 69 120 NA NA NA NA 165 231 279 NA NA NA NA 3284 672 813 NA NA NA NA 3414 728 860 NA NA NA NA
1458208800.0 10.0 NA 76 182 0 NA NA NA NA 236 384 0 NA NA NA NA 2470 2827 900 NA NA NA NA 2543 2950 935 NA NA NA
1458208800.0 1000.0 NA 191 105 0 42 NA NA NA 394 237 0 138 NA NA NA 3923 939 943 337 NA NA NA 3989 1003 962 382 NA NA
1458208800.0 1001.0 NA 179 196 0 0 0 0 NA 362 321 0 0 0 0 NA 3346 815 89 90 754 113 NA 3390 833 93 98 757 121
1458208800.0 1002.0 NA 197 59 NA NA NA NA NA 396 142 NA NA NA NA NA 4019 266 NA NA NA NA NA 4324 312 NA NA NA NA
1458208800.0 10021.0 NA 73 133 0 NA NA NA NA 250 322 0 NA NA NA NA 1267 1696 422 NA NA NA NA 1588 1888 449 NA NA NA
1458208800.0 10023.0 NA 76 135 0 NA NA NA NA 250 346 0 NA NA NA NA 1148 1351 423 NA NA NA NA 1362 1480 489 NA NA NA
1458208800.0 10024.0 NA 80 138 0 NA NA NA NA 250 346 0 NA NA NA NA 1281 1674 498 NA NA NA NA 1496 2273 517 NA NA NA
1458208800.0 10025.0 NA 75 136 0 NA NA NA NA 250 346 0 NA NA NA NA 1196 1356 433 NA NA NA NA 1303 1492 465 NA NA NA
1458208800.0 10026.0 NA 79 138 0 NA NA NA NA 250 346 0 NA NA NA NA 1342 1747 494 NA NA NA NA 2758 1966 516 NA NA NA
1458208800.0 1003.0 NA 167 0 NA NA NA NA NA 358 0 NA NA NA NA NA 5620 765 NA NA NA NA NA 5858 785 NA NA NA NA
1458208800.0 1004.0 NA 168 155 0 0 0 NA NA 353 260 0 0 0 NA NA 985 583 96 96 1267 NA NA 1003 590 110 100 1303 NA
1458208800.0 101.0 80 NA NA NA NA NA NA 227 NA NA NA NA NA NA 2218 NA NA NA NA NA NA 2266 NA NA NA NA NA NA
1458208800.0 102.0 78 NA NA NA NA NA NA 227 NA NA NA NA NA NA 1544 NA NA NA NA NA NA 1606 NA NA NA NA NA NA
1458208800.0 10224.0 NA 115 198 0 NA NA NA NA 263 397 0 NA NA NA NA 4429 5027 516 NA NA NA NA 12904 14306 700 NA NA NA
1458208800.0 10225.0 NA 113 196 0 NA NA NA NA 263 393 0 NA NA NA NA 4551 4747 487 NA NA NA NA 14039 14525 548 NA NA NA
1458208800.0 103.0 49 73 178 NA NA NA NA 160 233 375 NA NA NA NA 1332 428 916 NA NA NA NA 1402 446 936 NA NA NA NA
1458208800.0 105.0 54 78 24 NA NA NA NA 164 232 120 NA NA NA NA 3265 714 5 NA NA NA NA 3595 807 10 NA NA NA NA
1458208800.0 106.0 37 0 0 NA NA NA NA 142 0 0 NA NA NA NA 736 173 306 NA NA NA NA 750 400 325 NA NA NA NA
1458208800.0 107.0 54 79 180 NA NA NA NA 167 233 383 NA NA NA NA 5898 712 1129 NA NA NA NA 6007 732 1163 NA NA NA NA
1458208800.0 108.0 57 79 182 NA NA NA NA 169 233 383 NA NA NA NA 6993 567 868 NA NA NA NA 7519 703 912 NA NA NA NA
1458208800.0 109.0 57 84 180 NA NA NA NA 169 233 383 NA NA NA NA 9794 797 1376 NA NA NA NA 9992 824 1484 NA NA NA NA
1458208800.0 11.0 NA 75 197 0 59 NA NA NA 235 395 0 158 NA NA NA 3250 1749 1204 86 NA NA NA 3394 1774 1220 108 NA NA
1458208800.0 110.0 47 72 176 NA NA NA NA 155 232 373 NA NA NA NA 1110 702 975 NA NA NA NA 1134 733 1024 NA NA NA NA
1458208800.0 1102.0 NA 80 182 104 66 NA NA NA 235 384 255 153 NA NA NA 4113 5162 3215 232 NA NA NA 4235 5501 3276 284 NA NA
1458208800.0 111.0 52 75 180 NA NA NA NA 166 233 383 NA NA NA NA 3786 610 1122 NA NA NA NA 4022 666 1264 NA NA NA NA
1458208800.0 112.0 56 75 178 NA NA NA NA 167 233 376 NA NA NA NA 5336 720 1095 NA NA NA NA 5618 743 1131 NA NA NA NA
1458208800.0 113.0 53 72 180 NA NA NA NA 167 233 377 NA NA NA NA 6206 763 1085 NA NA NA NA 6364 792 1209 NA NA NA NA
1458208800.0 114.0 53 80 177 NA NA NA NA 167 233 376 NA NA NA NA 5249 789 1124 NA NA NA NA 5338 823 1294 NA NA NA NA
1458208800.0 115.0 54 77 178 NA NA NA NA 168 233 377 NA NA NA NA 6146 498 850 NA NA NA NA 6277 517 899 NA NA NA NA
1458208800.0 116.0 54 75 181 NA NA NA NA 168 233 383 NA NA NA NA 5398 534 886 NA NA NA NA 5631 559 978 NA NA NA NA
1458208800.0 117.0 56 75 181 NA NA NA NA 168 233 378 NA NA NA NA 7268 529 965 NA NA NA NA 7732 605 995 NA NA NA NA
1458208800.0 118.0 56 75 180 NA NA NA NA 168 233 383 NA NA NA NA 5692 511 963 NA NA NA NA 6115 541 999 NA NA NA NA
1458208800.0 119.0 55 84 180 NA NA NA NA 167 233 377 NA NA NA NA 4749 475 783 NA NA NA NA 4914 497 814 NA NA NA NA
1458208800.0 12.0 NA 77 183 0 NA NA NA NA 235 383 0 NA NA NA NA 2291 3049 886 NA NA NA NA 2321 3114 916 NA NA NA
1458208800.0 120.0 45 69 175 NA NA NA NA 155 232 382 NA NA NA NA 963 677 996 NA NA NA NA 991 724 1046 NA NA NA NA
1458208800.0 121.0 55 75 182 NA NA NA NA 168 233 383 NA NA NA NA 6910 563 997 NA NA NA NA 7350 833 1048 NA NA NA NA
1458208800.0 122.0 53 74 181 NA NA NA NA 165 233 383 NA NA NA NA 2196 496 982 NA NA NA NA 2329 525 1085 NA NA NA NA
1458208800.0 123.1 164 NA NA NA NA NA NA 363 NA NA NA NA NA NA 1168 NA NA NA NA NA NA 1226 NA NA NA NA NA NA
1458208800.0 123.2 164 NA NA NA NA NA NA 363 NA NA NA NA NA NA 1473 NA NA NA NA NA NA 1521 NA NA NA NA NA NA
1458208800.0 123.3 152 NA NA NA NA NA NA 349 NA NA NA NA NA NA 930 NA NA NA NA NA NA 1071 NA NA NA NA NA NA
1458208800.0 124.1 162 NA NA NA NA NA NA 357 NA NA NA NA NA NA 947 NA NA NA NA NA NA 1013 NA NA NA NA NA NA
1458208800.0 124.2 163 NA NA NA NA NA NA 363 NA NA NA NA NA NA 1105 NA NA NA NA NA NA 1147 NA NA NA NA NA NA
1458208800.0 124.4 160 NA NA NA NA NA NA 357 NA NA NA NA NA NA 942 NA NA NA NA NA NA 1020 NA NA NA NA NA NA
1458208800.0 124.5 157 NA NA NA NA NA NA 357 NA NA NA NA NA NA 985 NA NA NA NA NA NA 1053 NA NA NA NA NA NA
1458208800.0 124.6 152 NA NA NA NA NA NA 349 NA NA NA NA NA NA 944 NA NA NA NA NA NA 984 NA NA NA NA NA NA
1458208800.0 125.0 57 82 181 NA NA NA NA 168 233 383 NA NA NA NA 6785 510 836 NA NA NA NA 7112 553 885 NA NA NA NA
1458208800.0 126.0 45 72 178 NA NA NA NA 157 233 383 NA NA NA NA 2585 656 1065 NA NA NA NA 2651 705 1118 NA NA NA NA
1458208800.0 127.0 45 71 178 NA NA NA NA 157 233 383 NA NA NA NA 2349 663 1027 NA NA NA NA 2391 708 1061 NA NA NA NA
1458208800.0 128.0 45 71 176 NA NA NA NA 151 233 374 NA NA NA NA 966 691 1000 NA NA NA NA 1072 732 1036 NA NA NA NA
1458208800.0 129.0 44 79 177 NA NA NA NA 151 233 383 NA NA NA NA 949 694 960 NA NA NA NA 1071 728 994 NA NA NA NA
1458208800.0 13.0 NA 72 182 0 NA NA NA NA 235 383 0 NA NA NA NA 584 1844 1041 NA NA NA NA 617 1941 1124 NA NA NA
1458208800.0 130.0 46 70 181 NA NA NA NA 156 233 383 NA NA NA NA 1150 645 944 NA NA NA NA 1202 659 959 NA NA NA NA
1458208800.0 1301.0 58 113 150 NA NA NA NA 172 296 337 NA NA NA NA 2375 1004 1251 NA NA NA NA 2458 1071 1502 NA NA NA NA
1458208800.0 1302.0 65 120 162 NA NA NA NA 177 296 337 NA NA NA NA 11571 1283 1826 NA NA NA NA 12071 1386 1899 NA NA NA NA
1458208800.0 1303.0 66 124 155 NA NA NA NA 177 295 342 NA NA NA NA 16997 1549 2353 NA NA NA NA 18490 1801 2497 NA NA NA NA
1458208800.0 1306.0 NA 130 220 0 NA NA NA NA 306 437 0 NA NA NA NA 969 1462 1855 NA NA NA NA 1039 1586 1872 NA NA NA
1458208800.0 1307.0 NA 112 125 43 0 NA NA NA 301 304 147 0 NA NA NA 1027 1064 238 688 NA NA NA 1339 1259 302 719 NA NA
1458208800.0 1308.0 NA 115 123 41 0 NA NA NA 302 291 147 0 NA NA NA 1026 986 203 667 NA NA NA 1126 1495 230 693 NA NA
1458208800.0 1309.0 NA 134 226 0 NA NA NA NA 316 437 0 NA NA NA NA 804 1232 1420 NA NA NA NA 915 1329 1439 NA NA NA
1458208800.0 131.0 46 74 178 NA NA NA NA 154 233 383 NA NA NA NA 2786 670 1008 NA NA NA NA 2859 695 1055 NA NA NA NA
1458208800.0 1310.0 NA 133 224 0 NA NA NA NA 317 437 0 NA NA NA NA 919 1237 1617 NA NA NA NA 983 1318 1689 NA NA NA
1458208800.0 1311.0 NA 136 209 0 66 NA NA NA 308 411 0 167 NA NA NA 1122 1537 2108 198 NA NA NA 1474 1616 2128 263 NA NA
1458208800.0 1312.0 NA 133 223 0 NA NA NA NA 316 438 0 NA NA NA NA 1187 1847 2006 NA NA NA NA 1331 1958 2032 NA NA NA
1458208800.0 1313.0 NA 155 226 0 NA NA NA NA 327 438 0 NA NA NA NA 1400 2173 1505 NA NA NA NA 1478 2313 1534 NA NA NA
1458208800.0 1314.0 NA 135 228 0 NA NA NA NA 318 438 0 NA NA NA NA 1178 1775 2002 NA NA NA NA 1270 1868 2027 NA NA NA
1458208800.0 1315.0 NA 129 219 0 NA NA NA NA 306 437 0 NA NA NA NA 1042 1472 1884 NA NA NA NA 1135 1564 1958 NA NA NA
