Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1457604000.0 1.0 49 72 128 NA NA NA 95 145 182 NA NA NA 3031 430 1418 NA NA NA 3612 562 1886 NA NA NA
1457604000.0 10.0 NA 80 196 0 NA NA NA 150 258 0 NA NA NA 3856 4047 1247 NA NA NA 4007 4174 1284 NA NA
1457604000.0 1000.0 NA 202 109 0 46 NA NA 275 166 0 78 NA NA 3758 487 749 130 NA NA 4046 620 801 280 NA
1457604000.0 1002.0 NA 253 69 NA NA NA NA 324 101 NA NA NA NA 2726 180 NA NA NA NA 3593 207 NA NA NA
1457604000.0 10021.0 NA 76 137 0 NA NA NA 166 208 0 NA NA NA 710 1088 228 NA NA NA 1055 1455 236 NA NA
1457604000.0 10023.0 NA 78 139 0 NA NA NA 167 209 0 NA NA NA 654 859 257 NA NA NA 781 935 263 NA NA
1457604000.0 10024.0 NA 83 143 0 NA NA NA 167 209 0 NA NA NA 725 1085 269 NA NA NA 1309 1456 275 NA NA
1457604000.0 10025.0 NA 78 138 0 NA NA NA 167 209 0 NA NA NA 654 907 279 NA NA NA 820 1262 297 NA NA
1457604000.0 10026.0 NA 82 143 0 NA NA NA 167 209 0 NA NA NA 776 1098 289 NA NA NA 1452 1296 328 NA NA
1457604000.0 1003.0 NA 173 0 NA NA NA NA 256 0 NA NA NA NA 3143 548 NA NA NA NA 3638 593 NA NA NA
1457604000.0 1004.0 NA 173 155 0 0 0 NA 236 207 0 0 0 NA 677 201 48 47 345 NA 697 209 54 51 350
1457604000.0 101.0 76 NA NA NA NA NA 135 NA NA NA NA NA 1493 NA NA NA NA NA 1646 NA NA NA NA NA
1457604000.0 102.0 77 NA NA NA NA NA 135 NA NA NA NA NA 1023 NA NA NA NA NA 1084 NA NA NA NA NA
1457604000.0 10224.0 NA 118 206 0 NA NA NA 193 292 0 NA NA NA 3009 3442 399 NA NA NA 11413 19470 435 NA NA
1457604000.0 10225.0 NA 115 207 0 NA NA NA 190 295 0 NA NA NA 3112 3273 386 NA NA NA 12530 19333 400 NA NA
1457604000.0 103.0 43 74 182 NA NA NA 89 147 250 NA NA NA 906 283 613 NA NA NA 1028 311 659 NA NA NA
1457604000.0 105.0 49 76 19 NA NA NA 95 147 55 NA NA NA 2977 479 4 NA NA NA 3430 493 7 NA NA NA
1457604000.0 106.0 35 0 0 NA NA NA 75 0 0 NA NA NA 477 123 216 NA NA NA 505 138 320 NA NA NA
1457604000.0 107.0 54 77 191 NA NA NA 96 147 250 NA NA NA 6943 689 1060 NA NA NA 7104 795 1096 NA NA NA
1457604000.0 108.0 51 76 186 NA NA NA 99 147 250 NA NA NA 9247 764 1251 NA NA NA 9536 1290 1322 NA NA NA
1457604000.0 109.0 53 79 190 NA NA NA 99 147 250 NA NA NA 8714 486 900 NA NA NA 10787 1090 1187 NA NA NA
1457604000.0 11.0 NA 75 199 0 57 NA NA 149 260 0 91 NA NA 2144 1225 848 58 NA NA 4032 3984 1337 143 NA
1457604000.0 110.0 42 77 184 NA NA NA 82 147 249 NA NA NA 747 435 637 NA NA NA 812 473 684 NA NA NA
1457604000.0 1102.0 NA 82 198 109 73 NA NA 149 265 173 114 NA NA 2292 3305 3109 254 NA NA 2546 5837 4053 316 NA
1457604000.0 111.0 49 78 183 NA NA NA 95 147 250 NA NA NA 3293 391 675 NA NA NA 3905 481 781 NA NA NA
1457604000.0 112.0 50 81 185 NA NA NA 97 147 250 NA NA NA 6415 689 1121 NA NA NA 6557 719 1149 NA NA NA
1457604000.0 113.0 51 84 187 NA NA NA 97 148 250 NA NA NA 6430 702 1073 NA NA NA 6755 779 1200 NA NA NA
1457604000.0 114.0 52 88 187 NA NA NA 97 147 250 NA NA NA 6402 736 1101 NA NA NA 6588 751 1127 NA NA NA
