Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1458252000.0 10.0 NA 81 198 0 NA NA NA NA 150 259 0 NA NA NA NA 2303 2526 833 NA NA NA NA 2350 2647 1670 NA NA NA
1458252000.0 1000.0 NA 207 115 0 46 NA NA NA 276 167 0 79 NA NA NA 3821 470 727 134 NA NA NA 3876 514 741 189 NA NA
1458252000.0 1001.0 NA 179 200 0 0 0 0 NA 239 254 0 0 0 0 NA 2674 438 66 65 491 35 NA 2935 538 103 68 499 51
1458252000.0 1002.0 NA 209 61 NA NA NA NA NA 277 102 NA NA NA NA NA 2431 134 NA NA NA NA NA 2493 156 NA NA NA NA
1458252000.0 10021.0 NA 82 178 0 NA NA NA NA 167 279 0 NA NA NA NA 842 1455 577 NA NA NA NA 960 1545 592 NA NA NA
1458252000.0 10023.0 NA 78 179 0 NA NA NA NA 167 279 0 NA NA NA NA 739 1066 560 NA NA NA NA 842 1182 578 NA NA NA
1458252000.0 10024.0 NA 83 188 0 NA NA NA NA 167 279 0 NA NA NA NA 871 1343 635 NA NA NA NA 1030 1440 657 NA NA NA
1458252000.0 10025.0 NA 79 177 0 NA NA NA NA 167 279 0 NA NA NA NA 780 1089 605 NA NA NA NA 854 1185 641 NA NA NA
1458252000.0 10026.0 NA 83 189 0 NA NA NA NA 167 279 0 NA NA NA NA 862 1468 601 NA NA NA NA 1679 1603 623 NA NA NA
1458252000.0 1003.0 NA 175 0 NA NA NA NA NA 252 0 NA NA NA NA NA 3876 670 NA NA NA NA NA 3975 723 NA NA NA NA
1458252000.0 1004.0 NA 174 156 0 0 0 NA NA 236 208 0 0 0 NA NA 721 349 76 78 804 NA NA 745 361 85 83 822 NA
1458252000.0 10224.0 NA 121 263 0 NA NA NA NA 189 343 0 NA NA NA NA 2663 3845 436 NA NA NA NA 14165 11305 457 NA NA NA
1458252000.0 10225.0 NA 116 256 0 NA NA NA NA 187 345 0 NA NA NA NA 2750 3588 435 NA NA NA NA 14194 11253 457 NA NA NA
1458252000.0 11.0 NA 81 198 0 53 NA NA NA 150 262 0 92 NA NA NA 2743 1635 1223 85 NA NA NA 2820 1928 1313 124 NA NA
1458252000.0 1102.0 NA 82 201 116 68 NA NA NA 151 270 173 115 NA NA NA 3484 4641 4031 284 NA NA NA 3572 5577 4191 318 NA NA
1458252000.0 12.0 NA 80 192 0 NA NA NA NA 150 257 0 NA NA NA NA 2114 2774 886 NA NA NA NA 2151 2848 906 NA NA NA
1458252000.0 13.0 NA 73 186 0 NA NA NA NA 150 251 0 NA NA NA NA 408 1317 773 NA NA NA NA 477 1541 796 NA NA NA
1458252000.0 1306.0 NA 137 228 0 NA NA NA NA 192 308 0 NA NA NA NA 643 1457 1326 NA NA NA NA 711 1569 1409 NA NA NA
1458252000.0 1307.0 NA 118 127 48 0 NA NA NA 184 200 81 0 NA NA NA 631 669 56 581 NA NA NA 688 764 88 617 NA NA
1458252000.0 1308.0 NA 117 128 41 0 NA NA NA 184 200 81 0 NA NA NA 636 572 58 552 NA NA NA 721 636 65 580 NA NA
1458252000.0 1309.0 NA 136 245 0 NA NA NA NA 202 312 0 NA NA NA NA 798 1736 1422 NA NA NA NA 896 1826 1509 NA NA NA
1458252000.0 1310.0 NA 138 243 0 NA NA NA NA 203 308 0 NA NA NA NA 766 1589 1438 NA NA NA NA 857 1664 2469 NA NA NA
1458252000.0 1311.0 NA 140 218 0 69 NA NA NA 194 284 0 101 NA NA NA 648 1018 1450 120 NA NA NA 744 1110 1469 180 NA NA
1458252000.0 1312.0 NA 139 237 0 NA NA NA NA 202 308 0 NA NA NA NA 734 1685 1363 NA NA NA NA 814 1846 1659 NA NA NA
1458252000.0 1313.0 NA 147 236 0 NA NA NA NA 211 308 0 NA NA NA NA 1312 2399 1468 NA NA NA NA 1385 2495 1557 NA NA NA
1458252000.0 1314.0 NA 143 235 0 NA NA NA NA 204 308 0 NA NA NA NA 993 2065 2069 NA NA NA NA 1102 2560 2166 NA NA NA
1458252000.0 1315.0 NA 132 227 0 NA NA NA NA 193 308 0 NA NA NA NA 888 2123 1953 NA NA NA NA 962 2432 2011 NA NA NA
1458252000.0 1316.0 NA 129 241 0 NA NA NA NA 193 308 0 NA NA NA NA 641 1317 1209 NA NA NA NA 803 1399 1224 NA NA NA
1458252000.0 1317.0 NA 135 231 0 NA NA NA NA 193 308 0 NA NA NA NA 639 1428 1373 NA NA NA NA 915 1527 1398 NA NA NA
1458252000.0 1318.0 NA 131 227 0 NA NA NA NA 192 308 0 NA NA NA NA 878 2122 1988 NA NA NA NA 950 2459 2049 NA NA NA
1458252000.0 1319.0 NA 125 232 0 NA NA NA NA 197 308 0 NA NA NA NA 628 1402 1347 NA NA NA NA 914 1527 1368 NA NA NA
1458252000.0 1320.0 NA 134 227 0 NA NA NA NA 195 308 0 NA NA NA NA 926 2142 1969 NA NA NA NA 1014 2432 2028 NA NA NA
1458252000.0 1321.0 NA 135 237 0 NA NA NA NA 195 308 0 NA NA NA NA 671 1480 1359 NA NA NA NA 1008 1539 1395 NA NA NA
1458252000.0 1322.0 NA 135 232 0 NA NA NA NA 195 308 0 NA NA NA NA 698 1628 1336 NA NA NA NA 757 1720 1505 NA NA NA
1458252000.0 1323.0 NA 129 232 0 NA NA NA NA 191 307 0 NA NA NA NA 636 1399 1370 NA NA NA NA 683 1487 1397 NA NA NA
1458252000.0 1324.0 NA 141 238 0 NA NA NA NA 201 308 0 NA NA NA NA 746 1729 1381 NA NA NA NA 973 1826 1435 NA NA NA
1458252000.0 1325.0 NA 140 243 0 64 NA NA NA 201 308 0 106 NA NA NA 779 1720 1416 147 NA NA NA 850 1840 1433 208 NA NA
1458252000.0 1326.0 NA 135 239 0 NA NA NA NA 198 308 0 NA NA NA NA 698 1648 1408 NA NA NA NA 776 1734 1424 NA NA NA
1458252000.0 1327.0 NA 134 239 0 NA NA NA NA 197 308 0 NA NA NA NA 681 1617 1428 NA NA NA NA 759 1697 1450 NA NA NA
1458252000.0 1328.0 NA 138 236 0 NA NA NA NA 199 308 0 NA NA NA NA 735 1649 1400 NA NA NA NA 851 1755 1419 NA NA NA
1458252000.0 1329.0 NA 138 239 0 NA NA NA NA 199 308 0 NA NA NA NA 737 1475 1420 NA NA NA NA 804 1569 1446 NA NA NA
1458252000.0 1330.0 NA 144 233 0 NA NA NA NA 202 308 0 NA NA NA NA 693 1574 1436 NA NA NA NA 782 2008 1489 NA NA NA
1458252000.0 1331.0 NA 136 230 0 NA NA NA NA 196 308 0 NA NA NA NA 678 1460 1387 NA NA NA NA 742 1549 1412 NA NA NA
1458252000.0 1332.0 NA 135 236 0 NA NA NA NA 198 308 0 NA NA NA NA 697 1505 1399 NA NA NA NA 768 1569 1424 NA NA NA
1458252000.0 1333.0 NA 135 231 0 NA NA NA NA 196 308 0 NA NA NA NA 682 1553 1360 NA NA NA NA 763 1705 1386 NA NA NA
1458252000.0 1334.0 NA 141 235 0 NA NA NA NA 199 308 0 NA NA NA NA 722 1662 1383 NA NA NA NA 851 1750 1446 NA NA NA
1458252000.0 1335.0 NA 136 235 0 NA NA NA NA 197 308 0 NA NA NA NA 663 1480 1422 NA NA NA NA 742 1607 1502 NA NA NA
1458252000.0 1336.0 NA 145 243 0 NA NA NA NA 204 308 0 NA NA NA NA 1039 2404 1403 NA NA NA NA 1149 2588 1430 NA NA NA
1458252000.0 1337.0 NA 145 246 0 NA NA NA NA 207 316 0 NA NA NA NA 1053 2417 1439 NA NA NA NA 1151 2552 1464 NA NA NA
1458252000.0 1338.0 NA 144 242 0 NA NA NA NA 203 308 0 NA NA NA NA 798 1707 1408 NA NA NA NA 908 1798 1500 NA NA NA
1458252000.0 1339.0 NA 144 245 0 NA NA NA NA 203 316 0 NA NA NA NA 1026 2104 1439 NA NA NA NA 1120 2267 1466 NA NA NA
1458252000.0 134.0 NA 212 35 0 NA NA NA NA 282 73 0 NA NA NA NA 3042 8 10 NA NA NA NA 3182 26 28 NA NA NA
1458252000.0 134.701 NA 34 234 0 NA NA NA NA 90 302 0 NA NA NA NA 187 6395 689 NA NA NA NA 281 6962 697 NA NA NA
1458252000.0 134.702 NA 43 223 0 NA NA NA NA 88 298 0 NA NA NA NA 178 9522 1160 NA NA NA NA 208 10536 1212 NA NA NA
