Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1458428400.0 1.0 51 77 120 NA NA 167 236 286 NA NA 2922 658 821 NA NA 3108 737 855 NA NA
1458428400.0 10.0 NA 77 NA NA NA NA 241 NA NA NA NA 2838 NA NA NA NA 2890 NA NA NA
1458428400.0 1002.0 NA 193 NA NA NA NA 404 NA NA NA NA 1241 NA NA NA NA 1291 NA NA NA
1458428400.0 10021.0 NA 73 NA NA NA NA 255 NA NA NA NA 1215 NA NA NA NA 1438 NA NA NA
1458428400.0 10023.0 NA 75 NA NA NA NA 255 NA NA NA NA 1180 NA NA NA NA 1896 NA NA NA
1458428400.0 10024.0 NA 84 NA NA NA NA 255 NA NA NA NA 1210 NA NA NA NA 1273 NA NA NA
1458428400.0 10025.0 NA 75 NA NA NA NA 255 NA NA NA NA 1216 NA NA NA NA 1382 NA NA NA
1458428400.0 10026.0 NA 80 NA NA NA NA 255 NA NA NA NA 1270 NA NA NA NA 1372 NA NA NA
1458428400.0 101.0 85 NA NA NA NA 236 NA NA NA NA 2184 NA NA NA NA 2280 NA NA NA NA
1458428400.0 102.0 87 NA NA NA NA 236 NA NA NA NA 1595 NA NA NA NA 1707 NA NA NA NA
1458428400.0 10224.0 NA 114 NA NA NA NA 267 NA NA NA NA 4832 NA NA NA NA 13157 NA NA NA
1458428400.0 10225.0 NA 109 NA NA NA NA 269 NA NA NA NA 4905 NA NA NA NA 13531 NA NA NA
1458428400.0 103.0 46 75 180 NA NA 162 238 393 NA NA 1367 472 1043 NA NA 1431 522 1117 NA NA
1458428400.0 105.0 51 73 20 NA NA 167 239 126 NA NA 3165 745 7 NA NA 3555 816 12 NA NA
1458428400.0 106.0 36 0 0 NA NA 147 0 0 NA NA 750 168 313 NA NA 769 184 350 NA NA
1458428400.0 107.0 54 72 180 NA NA 169 239 393 NA NA 5414 714 1191 NA NA 5560 738 1229 NA NA
1458428400.0 108.0 56 74 NA NA NA 171 239 NA NA NA 8004 828 NA NA NA 8246 902 NA NA NA
1458428400.0 109.0 60 76 NA NA NA 171 239 NA NA NA 9986 805 NA NA NA 10183 836 NA NA NA
1458428400.0 11.0 NA 76 NA NA NA NA 241 NA NA NA NA 3250 NA NA NA NA 3336 NA NA NA
1458428400.0 110.0 48 82 179 NA NA 159 238 393 NA NA 1197 707 1128 NA NA 1374 737 1228 NA NA
1458428400.0 1102.0 NA 76 NA NA NA NA 241 NA NA NA NA 2936 NA NA NA NA 3147 NA NA NA
1458428400.0 111.0 52 77 NA NA NA 168 239 NA NA NA 2919 553 NA NA NA 3711 641 NA NA NA
1458428400.0 112.0 55 74 180 NA NA 169 239 393 NA NA 5153 726 1116 NA NA 5243 766 1248 NA NA
1458428400.0 113.0 53 84 NA NA NA 170 239 NA NA NA 5588 755 NA NA NA 6103 790 NA NA NA
1458428400.0 114.0 53 74 NA NA NA 169 239 NA NA NA 4949 710 NA NA NA 5069 729 NA NA NA
1458428400.0 115.0 58 80 NA NA NA 171 239 NA NA NA 6419 722 NA NA NA 6697 1258 NA NA NA
1458428400.0 116.0 58 75 NA NA NA 171 239 NA NA NA 6154 713 NA NA NA 6427 1276 NA NA NA
