Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1458921600.0 1.0 51 69 115 NA NA NA NA 98 144 174 NA NA NA NA 2705 614 739 NA NA NA NA 2925 663 775 NA NA NA NA
1458921600.0 10.0 NA 76 188 0 NA NA NA NA 148 244 0 NA NA NA NA 3807 3856 1150 NA NA NA NA 3889 3976 1175 NA NA NA
1458921600.0 1000.0 NA 195 105 0 43 NA NA NA 265 162 0 77 NA NA NA 2333 457 633 130 NA NA NA 2446 764 649 148 NA NA
1458921600.0 1001.0 NA 172 365 0 0 0 0 NA 234 409 0 0 0 0 NA 2275 2203 61 60 795 62 NA 2395 2359 105 67 816 151
1458921600.0 1002.0 NA 194 59 NA NA NA NA NA 265 99 NA NA NA NA NA 3560 210 NA NA NA NA NA 3981 302 NA NA NA NA
1458921600.0 10021.0 NA 72 174 0 NA NA NA NA 166 269 0 NA NA NA NA 1100 1845 809 NA NA NA NA 1237 1971 830 NA NA NA
1458921600.0 10023.0 NA 75 173 0 NA NA NA NA 166 269 0 NA NA NA NA 1044 1454 674 NA NA NA NA 1153 1586 689 NA NA NA
1458921600.0 10024.0 NA 79 178 0 NA NA NA NA 166 246 0 NA NA NA NA 1151 1731 902 NA NA NA NA 1276 1899 942 NA NA NA
1458921600.0 10025.0 NA 74 175 0 NA NA NA NA 166 245 0 NA NA NA NA 1055 1498 553 NA NA NA NA 1222 1576 566 NA NA NA
1458921600.0 10026.0 NA 79 178 0 NA NA NA NA 166 246 0 NA NA NA NA 1134 2072 594 NA NA NA NA 1283 2199 608 NA NA NA
1458921600.0 1003.0 NA 166 0 NA NA NA NA NA 232 0 NA NA NA NA NA 4690 819 NA NA NA NA NA 5024 851 NA NA NA NA
1458921600.0 1004.0 NA 167 332 0 0 0 NA NA 233 370 0 0 0 NA NA 986 2222 60 60 732 NA NA 1070 2254 70 65 735 NA
1458921600.0 101.0 77 NA NA NA NA NA NA 136 NA NA NA NA NA NA 1307 NA NA NA NA NA NA 1346 NA NA NA NA NA NA
1458921600.0 102.0 78 NA NA NA NA NA NA 136 NA NA NA NA NA NA 956 NA NA NA NA NA NA 997 NA NA NA NA NA NA
1458921600.0 10224.0 NA 114 245 0 NA NA NA NA 181 329 0 NA NA NA NA 2905 4120 387 NA NA NA NA 11025 11111 395 NA NA NA
1458921600.0 10225.0 NA 109 240 0 NA NA NA NA 175 327 0 NA NA NA NA 2945 3777 401 NA NA NA NA 11462 10656 417 NA NA NA
1458921600.0 103.0 46 80 178 NA NA NA NA 92 146 243 NA NA NA NA 892 337 603 NA NA NA NA 935 363 1545 NA NA NA NA
1458921600.0 105.0 50 72 19 NA NA NA NA 98 146 54 NA NA NA NA 1986 453 4 NA NA NA NA 2308 509 9 NA NA NA NA
1458921600.0 106.0 36 0 0 NA NA NA NA 77 0 0 NA NA NA NA 439 123 209 NA NA NA NA 495 133 228 NA NA NA NA
1458921600.0 107.0 50 72 179 NA NA NA NA 99 146 243 NA NA NA NA 3821 395 567 NA NA NA NA 4050 417 587 NA NA NA NA
1458921600.0 108.0 56 77 186 NA NA NA NA 102 146 243 NA NA NA NA 7899 706 1355 NA NA NA NA 8145 727 1402 NA NA NA NA
1458921600.0 109.0 57 77 184 NA NA NA NA 102 146 243 NA NA NA NA 9253 740 1398 NA NA NA NA 9450 770 1453 NA NA NA NA
