Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1459198800.0 10224.0 NA 200 375 0 NA NA 270 467 0 NA NA 2620 3542 215 NA NA 3689 3852 244 NA
1459198800.0 10225.0 NA 200 368 0 NA NA 265 460 0 NA NA 2677 2394 201 NA NA 3520 3562 221 NA
1459198800.0 134.807 NA 173 391 0 NA NA 257 470 0 NA NA 2492 7080 341 NA NA 4709 3059 367 NA
1459198800.0 134.808 NA 159 389 0 NA NA 253 467 0 NA NA 2377 7093 323 NA NA 4862 2821 332 NA
1459198800.0 134.903 NA 141 370 0 NA NA 208 428 0 NA NA 1585 6159 392 NA NA 1184 2868 409 NA
1459198800.0 134.908 NA 169 380 0 NA NA 254 454 0 NA NA 1800 5063 293 NA NA 6415 2173 312 NA
1459198800.0 1360.0 15 69 159 406 0 120 124 218 478 0 7 1909 290 738 486 1204 1035 304 738 494
1459198800.0 13992501.0 NA 256 631 0 NA NA 351 737 0 NA NA 2645 3886 615 NA NA 1697 2276 639 NA
1459198800.0 13992502.0 NA 253 626 0 NA NA 340 734 0 NA NA 2289 3320 567 NA NA 1681 2214 574 NA
1459198800.0 250200.0 NA 319 493 0 NA NA 400 586 0 NA NA 8273 2900 576 NA NA 4680 1397 583 NA
1459198800.0 250202.0 NA 326 507 0 NA NA 408 599 0 NA NA 9655 3863 616 NA NA 4700 1755 631 NA
1459198800.0 250203.0 NA 328 494 0 NA NA 394 579 0 NA NA 8556 2908 555 NA NA 4699 1406 561 NA
1459198800.0 250204.0 NA 322 484 0 NA NA 408 570 0 NA NA 9850 2935 543 NA NA 5054 1632 550 NA
1459198800.0 250205.0 NA 320 485 0 NA NA 396 576 0 NA NA 8081 2862 554 NA NA 4561 1447 561 NA
1459198800.0 250206.0 NA 322 486 0 NA NA 402 579 0 NA NA 8602 3096 529 NA NA 4682 1685 535 NA
1459198800.0 250207.0 NA 300 484 0 NA NA 386 576 0 NA NA 6838 2419 523 NA NA 3825 1295 530 NA
1459198800.0 25200.0 NA 247 599 0 NA NA 340 703 0 NA NA 2473 3280 526 NA NA 1645 1983 531 NA
1459198800.0 25202.0 NA 266 619 0 NA NA 347 711 0 NA NA 2537 3252 783 NA NA 2275 1797 798 NA
1459198800.0 25204.0 NA 256 622 0 NA NA 353 726 0 NA NA 2327 3607 535 NA NA 1611 1874 558 NA
1459198800.0 25205.0 NA 235 628 0 NA NA 335 734 0 NA NA 2262 3085 563 NA NA 1497 1797 572 NA
1459198800.0 25206.0 NA 266 613 0 NA NA 347 711 0 NA NA 3149 3243 734 NA NA 2625 2030 745 NA
1459198800.0 25207.0 NA 244 575 0 NA NA 337 680 0 NA NA 2140 2739 549 NA NA 1590 1845 560 NA
1459198800.0 25208.0 NA 259 626 0 NA NA 364 736 0 NA NA 2896 5112 615 NA NA 1699 2550 621 NA
1459198800.0 25209.0 NA 257 627 0 NA NA 342 738 0 NA NA 2590 3965 580 NA NA 1548 2453 589 NA
1459198800.0 25400.0 453 0 115 NA NA 585 0 164 NA NA 6321 464 678 NA NA 3550 524 685 NA NA
1459198800.0 25405.0 452 0 115 NA NA 579 0 164 NA NA 6408 475 645 NA NA 3452 544 666 NA NA
1459198800.0 4.76 NA 58 353 0 NA NA 96 416 0 NA NA 132 7520 365 NA NA 167 2711 378 NA
1459198800.0 500202.0 NA 173 440 0 NA NA 237 518 0 NA NA 3857 2030 299 NA NA 2300 1018 306 NA
1459198800.0 500203.0 NA 184 440 0 NA NA 235 516 0 NA NA 7328 4351 694 NA NA 4139 2282 760 NA
1459198800.0 50200.0 NA 138 507 0 NA NA 203 580 0 NA NA 1743 3084 415 NA NA 1207 2721 430 NA
1459198800.0 515.0 15 38 0 NA NA 120 72 0 NA NA 6 30 8 NA NA 2524 36 15 NA NA
1459198800.0 518.0 15 38 0 NA NA 120 72 0 NA NA 6 22 8 NA NA 2412 30 22 NA NA
1459198800.0 522.0 15 34 0 NA NA 120 72 0 NA NA 6 23 9 NA NA 3228 28 15 NA NA
1459198800.0 526.0 15 39 0 NA NA 120 73 0 NA NA 6 25 8 NA NA 3538 50 24 NA NA
1459198800.0 529.0 15 39 0 NA NA 120 73 0 NA NA 7 26 9 NA NA 3545 74 14 NA NA
