Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1459033200.0 1.0 51 70 119 NA NA NA 98 144 174 NA NA NA 1724 316 332 NA NA NA 2121 392 371 NA NA NA
1459033200.0 1002.0 NA 195 58 NA NA NA NA 264 99 NA NA NA NA 2054 162 NA NA NA NA 2890 179 NA NA NA
1459033200.0 10021.0 NA 73 120 0 NA NA NA 166 172 0 NA NA NA 589 586 177 NA NA NA 694 628 198 NA NA
1459033200.0 10023.0 NA 75 119 0 NA NA NA 166 174 0 NA NA NA 548 435 209 NA NA NA 718 476 215 NA NA
1459033200.0 10024.0 NA 80 125 0 NA NA NA 166 178 0 NA NA NA 658 489 217 NA NA NA 1057 731 224 NA NA
1459033200.0 10025.0 NA 75 120 0 NA NA NA 166 173 0 NA NA NA 607 467 218 NA NA NA 941 508 226 NA NA
1459033200.0 10026.0 NA 79 125 0 NA NA NA 166 179 0 NA NA NA 592 735 307 NA NA NA 987 1045 338 NA NA
1459033200.0 1003.0 NA 166 0 NA NA NA NA 232 0 NA NA NA NA 3342 405 NA NA NA NA 3483 437 NA NA NA
1459033200.0 1004.0 NA 167 153 0 0 0 NA 233 191 0 0 0 NA 510 185 44 44 391 NA 550 195 55 47 401
1459033200.0 10224.0 NA 109 181 0 NA NA NA 171 262 0 NA NA NA 2597 2552 308 NA NA NA 10514 10007 353 NA NA
1459033200.0 10225.0 NA 110 180 0 NA NA NA 176 261 0 NA NA NA 2666 2473 316 NA NA NA 10662 10773 340 NA NA
1459033200.0 103.0 46 73 178 NA NA NA 92 146 243 NA NA NA 663 214 380 NA NA NA 709 242 415 NA NA NA
1459033200.0 105.0 51 71 24 NA NA NA 98 146 54 NA NA NA 1745 323 3 NA NA NA 1944 380 19 NA NA NA
1459033200.0 106.0 37 0 0 NA NA NA 77 0 0 NA NA NA 379 93 154 NA NA NA 411 130 210 NA NA NA
1459033200.0 108.0 54 75 179 NA NA NA 101 146 239 NA NA NA 7814 683 846 NA NA NA 7999 789 884 NA NA NA
1459033200.0 109.0 54 74 181 NA NA NA 101 146 243 NA NA NA 9285 612 953 NA NA NA 9513 666 1020 NA NA NA
1459033200.0 110.0 45 73 177 NA NA NA 89 146 243 NA NA NA 578 342 390 NA NA NA 610 370 537 NA NA NA
1459033200.0 1102.0 NA 77 182 102 59 NA NA 148 244 159 107 NA NA 3308 4320 2697 179 NA NA 3400 4516 2821 191 NA
1459033200.0 111.0 51 73 180 NA NA NA 98 146 243 NA NA NA 1830 311 434 NA NA NA 2588 335 534 NA NA NA
1459033200.0 117.0 56 74 180 NA NA NA 101 146 243 NA NA NA 8820 621 860 NA NA NA 9109 681 913 NA NA NA
1459033200.0 120.0 44 69 176 NA NA NA 89 146 243 NA NA NA 460 276 417 NA NA NA 503 296 508 NA NA NA
1459033200.0 121.0 54 74 178 NA NA NA 101 146 243 NA NA NA 8225 639 891 NA NA NA 8450 703 940 NA NA NA
1459033200.0 122.0 50 73 179 NA NA NA 97 146 243 NA NA NA 1147 241 315 NA NA NA 1411 259 348 NA NA NA
1459033200.0 123.1 163 NA NA NA NA NA 228 NA NA NA NA NA 508 NA NA NA NA NA 544 NA NA NA NA NA
1459033200.0 123.2 163 NA NA NA NA NA 229 NA NA NA NA NA 597 NA NA NA NA NA 638 NA NA NA NA NA
