Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1458813600.0 10.0 NA 60 NA NA 234 NA NA 114 NA NA 124 NA
1458813600.0 1000.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 1001.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 1002.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 10021.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 10024.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 10025.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 10026.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 1003.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 1004.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 101.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 102.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 10224.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 10225.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 103.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 105.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 107.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 108.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 109.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 11.0 NA 52 NA NA 234 NA NA 159 NA NA 179 NA
1458813600.0 110.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 1102.0 NA 52 NA NA 234 NA NA 124 NA NA 252 NA
1458813600.0 111.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 112.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 113.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 114.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 115.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 116.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 117.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 118.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 119.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 12.0 NA 52 NA NA 234 NA NA 97 NA NA 104 NA
1458813600.0 120.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 121.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 122.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 123.1 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 123.2 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 123.3 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 124.1 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 124.2 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 124.4 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 124.5 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 124.6 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 125.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 127.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 128.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 129.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 13.0 NA 58 NA NA 234 NA NA 118 NA NA 147 NA
1458813600.0 130.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 1301.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 1302.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 1303.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 1306.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 1307.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 1308.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 1309.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 131.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1458813600.0 1310.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 1311.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 1312.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 1313.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 1314.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 1315.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 1316.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 1317.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 1318.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 1319.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1458813600.0 132.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
