Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1459198800.0 10225.0 NA 107 NA NA NA NA 255 NA NA NA NA 3474 NA NA NA NA 8223 NA NA NA
1459198800.0 1312.0 NA 129 218 0 NA NA 316 437 0 NA NA 910 1249 1251 NA NA 1031 1543 1281 NA
1459198800.0 1315.0 NA 125 215 0 NA NA 306 436 0 NA NA 692 896 1144 NA NA 868 1042 1198 NA
1459198800.0 1317.0 NA 125 215 0 NA NA 307 437 0 NA NA 645 986 1127 NA NA 830 1212 1180 NA
1459198800.0 1318.0 NA 127 215 0 NA NA 307 436 0 NA NA 672 899 1184 NA NA 830 1013 1243 NA
1459198800.0 1321.0 NA 130 223 0 NA NA 309 437 0 NA NA 745 937 1368 NA NA 924 1921 1488 NA
1459198800.0 1322.0 NA 124 213 0 NA NA 309 437 0 NA NA 822 1073 1155 NA NA 933 1344 1186 NA
1459198800.0 1323.0 NA 126 218 0 NA NA 307 436 0 NA NA 383 640 917 NA NA 437 1020 940 NA
1459198800.0 1325.0 NA 138 229 0 63 NA 316 437 0 172 NA 811 1168 1360 173 NA 1048 2616 1500 244
1459198800.0 1326.0 NA 127 220 0 NA NA 312 437 0 NA NA 792 990 1259 NA NA 886 1188 1299 NA
1459198800.0 1328.0 NA 138 227 0 NA NA 314 437 0 NA NA 835 1077 1337 NA NA 1061 2458 1465 NA
1459198800.0 1329.0 NA 135 225 0 NA NA 313 437 0 NA NA 769 1013 1322 NA NA 1009 2456 1471 NA
1459198800.0 1330.0 NA 136 228 0 NA NA 315 437 0 NA NA 810 1024 1315 NA NA 1006 2457 1461 NA
1459198800.0 1331.0 NA 127 225 0 NA NA 311 437 0 NA NA 686 936 1356 NA NA 950 2472 1481 NA
1459198800.0 1332.0 NA 135 226 0 NA NA 312 437 0 NA NA 725 1025 1365 NA NA 906 2213 1448 NA
1459198800.0 1333.0 NA 129 222 0 NA NA 310 437 0 NA NA 415 734 950 NA NA 491 902 964 NA
1459198800.0 1334.0 NA 136 221 0 NA NA 313 437 0 NA NA 805 1132 1174 NA NA 1045 1339 1209 NA
1459198800.0 1335.0 NA 129 225 0 NA NA 312 437 0 NA NA 671 969 1339 NA NA 994 1905 1487 NA
1459198800.0 134.702 NA 34 211 0 NA NA 146 404 0 NA NA 162 6638 550 NA NA 198 6948 619 NA
1459198800.0 134.802 NA 112 216 0 NA NA 283 415 0 NA NA 2354 9098 600 NA NA 3213 9539 638 NA
1459198800.0 134.803 NA 113 219 0 NA NA 285 415 0 NA NA 2158 7821 619 NA NA 3034 8177 645 NA
1459198800.0 134.809 NA 113 220 0 NA NA 284 416 0 NA NA 2440 8297 584 NA NA 3304 8648 596 NA
1459198800.0 134.81 NA 112 219 0 NA NA 282 417 0 NA NA 2198 8285 566 NA NA 3136 8625 589 NA
1459198800.0 134.902 NA 113 215 0 NA NA 285 411 0 NA NA 1833 6482 638 NA NA 2795 6845 655 NA
1459198800.0 134.904 NA 114 217 0 NA NA 287 417 0 NA NA 2421 7223 578 NA NA 3406 7592 597 NA
1459198800.0 134.906 NA 114 217 0 NA NA 284 414 0 NA NA 2185 6976 599 NA NA 3034 7325 622 NA
1459198800.0 134.907 NA 133 231 0 NA NA 322 424 0 NA NA 2330 6343 622 NA NA 3210 6672 640 NA
1459198800.0 134.908 NA 137 231 0 NA NA 322 428 0 NA NA 2219 6528 631 NA NA 3187 6942 655 NA
1459198800.0 134.909 NA 112 215 0 NA NA 285 411 0 NA NA 1866 6275 547 NA NA 2693 6655 566 NA
1459198800.0 134.912 NA 119 212 0 NA NA 278 407 0 NA NA 1211 4328 588 NA NA 1353 4676 607 NA
1459198800.0 134.99603 NA 114 219 0 NA NA 284 415 0 NA NA 2101 7941 622 NA NA 3027 8401 661 NA
1459198800.0 135.2 180 0 90 NA NA 383 0 234 NA NA 578 275 224 NA NA 864 299 274 NA NA
1459198800.0 25400.0 224 0 93 NA NA 455 0 236 NA NA 5455 479 474 NA NA 6752 525 554 NA NA
1459198800.0 25402.0 229 0 97 NA NA 462 0 236 NA NA 6365 498 576 NA NA 7334 525 631 NA NA
1459198800.0 25405.0 225 0 93 NA NA 456 0 236 NA NA 5268 426 481 NA NA 5944 536 540 NA NA
1459198800.0 25407.0 226 0 94 NA NA 457 0 237 NA NA 3559 334 328 NA NA 7636 361 374 NA NA
1459198800.0 25409.0 227 0 96 NA NA 466 0 236 NA NA 5486 457 477 NA NA 7146 484 535 NA NA
1459198800.0 4.45 NA 35 207 0 NA NA 143 402 0 NA NA 134 7528 567 NA NA 198 7835 589 NA
1459198800.0 4.52 NA 36 208 0 NA NA 141 405 0 NA NA 142 8027 501 NA NA 234 8290 517 NA
1459198800.0 4.55 NA 29 209 0 NA NA 141 402 0 NA NA 170 9364 531 NA NA 241 9697 558 NA
1459198800.0 4.57 NA 47 214 0 NA NA 156 411 0 NA NA 143 9581 542 NA NA 192 9850 562 NA
1459198800.0 4.63 NA 30 208 0 NA NA 141 402 0 NA NA 150 8478 515 NA NA 212 8725 538 NA
1459198800.0 4.64 NA 32 209 0 NA NA 140 406 0 NA NA 146 8132 480 NA NA 183 8448 499 NA
1459198800.0 4.67 NA 47 216 0 NA NA 157 410 0 NA NA 171 9479 540 NA NA 249 9850 553 NA
1459198800.0 4.68 NA 41 208 0 NA NA 151 403 0 NA NA 114 8708 543 NA NA 170 8961 575 NA
1459198800.0 4.73 NA 38 211 0 NA NA 143 407 0 NA NA 134 8092 532 NA NA 244 8395 553 NA
1459198800.0 4.74 NA 33 207 0 NA NA 141 400 0 NA NA 133 6682 489 NA NA 246 6980 510 NA
1459198800.0 4.75 NA 31 207 0 NA NA 141 402 0 NA NA 160 8237 483 NA NA 202 8535 505 NA
