Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1459069200.0 12.0 NA 83 181 0 NA 148 242 0 NA 3480 3912 912 NA 3604 4038 971
1459069200.0 135.11 207 0 102 NA 271 0 152 NA 2257 522 701 NA 2432 591 873 NA
1459069200.0 135.4 191 0 93 NA 262 0 152 NA 1249 530 409 NA 1560 586 503 NA
1459069200.0 135.5 189 0 92 NA 260 0 152 NA 1172 482 408 NA 1518 578 503 NA
1459069200.0 1350.0 NA 142 223 0 NA 189 296 0 NA 937 1420 1336 NA 1020 2008 1486
1459069200.0 250400.0 208 0 102 NA 280 0 152 NA 2148 495 774 NA 2525 602 955 NA
1459069200.0 250402.0 206 0 103 NA 278 0 153 NA 2306 505 807 NA 2602 557 980 NA
1459069200.0 250409.0 202 0 98 NA 284 0 153 NA 2729 501 790 NA 3083 530 881 NA
1459069200.0 515.0 14 36 0 NA 116 65 0 NA 30 36 18 NA 4320 53 36 NA
1459069200.0 518.0 14 36 0 NA 116 65 0 NA 38 60 26 NA 7430 71 47 NA
1459069200.0 522.0 14 36 0 NA 116 65 0 NA 47 66 26 NA 7431 78 46 NA
1459069200.0 526.0 15 36 0 NA 116 65 0 NA 18 65 27 NA 7431 75 43 NA
1459069200.0 529.0 14 36 0 NA 116 65 0 NA 26 61 26 NA 7431 71 46 NA
