Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1459112400.0 10.0 NA 77 183 0 NA NA 149 244 0 NA NA 2184 2384 566 NA NA 2255 2472 580 NA
1459112400.0 1102.0 NA 75 183 102 58 NA 148 244 159 107 NA 2348 3130 1860 144 NA 2454 3226 1922 155
1459112400.0 117.0 54 74 184 NA NA 101 146 243 NA NA 6050 416 590 NA NA 6348 430 684 NA NA
1459112400.0 12.0 NA 75 182 0 NA NA 148 243 0 NA NA 2048 2477 602 NA NA 2140 2548 618 NA
1459112400.0 1326.0 NA 132 221 0 NA NA 191 295 0 NA NA 551 750 981 NA NA 597 820 1007 NA
1459112400.0 133.0 56 82 184 NA NA 102 146 243 NA NA 10500 594 973 NA NA 10793 672 1019 NA NA
1459112400.0 1330.0 NA 134 224 0 NA NA 194 296 0 NA NA 542 827 987 NA NA 605 921 1015 NA
1459112400.0 1335.0 NA 135 224 0 NA NA 191 296 0 NA NA 504 761 970 NA NA 578 855 1001 NA
1459112400.0 1336.0 NA 138 225 0 NA NA 197 296 0 NA NA 873 1767 956 NA NA 1221 1984 976 NA
1459112400.0 134.701 NA 34 216 0 NA NA 82 278 0 NA NA 182 6473 797 NA NA 226 6749 872 NA
1459112400.0 134.702 NA 36 211 0 NA NA 82 272 0 NA NA 191 9002 757 NA NA 218 9390 787 NA
1459112400.0 134.705 NA 35 218 0 NA NA 85 281 0 NA NA 146 5831 474 NA NA 339 6344 524 NA
1459112400.0 134.706 NA 35 218 0 NA NA 85 279 0 NA NA 148 6019 456 NA NA 336 6571 530 NA
1459112400.0 134.71 NA 30 208 0 NA NA 79 272 0 NA NA 147 4135 494 NA NA 174 4637 507 NA
1459112400.0 134.801 NA 114 217 0 NA NA 176 279 0 NA NA 1509 6517 782 NA NA 1632 6854 829 NA
1459112400.0 134.812 NA 111 215 0 NA NA 172 279 0 NA NA 1345 6411 828 NA NA 1455 6732 881 NA
1459112400.0 134.901 NA 111 215 0 NA NA 174 280 0 NA NA 1543 6332 690 NA NA 2011 6627 723 NA
1459112400.0 134.904 NA 118 221 0 NA NA 181 285 0 NA NA 1862 5999 527 NA NA 2775 6446 550 NA
1459112400.0 134.99901 NA 112 211 0 NA NA 177 279 0 NA NA 1855 7755 794 NA NA 2010 8115 821 NA
1459112400.0 135.11 199 0 94 NA NA 271 0 152 NA NA 1309 343 284 NA NA 1413 360 316 NA NA
1459112400.0 135.12 193 0 91 NA NA 261 0 152 NA NA 787 322 235 NA NA 937 353 266 NA NA
1459112400.0 135.2 181 0 90 NA NA 243 0 151 NA NA 591 287 223 NA NA 685 311 265 NA NA
1459112400.0 135.3 181 0 91 NA NA 244 0 151 NA NA 617 296 223 NA NA 710 319 252 NA NA
1459112400.0 135.4 194 0 99 NA NA 262 0 152 NA NA 1072 431 319 NA NA 1247 450 389 NA NA
1459112400.0 135.5 190 0 95 NA NA 260 0 152 NA NA 1039 449 319 NA NA 1212 475 393 NA NA
1459112400.0 135.7 191 0 92 NA NA 261 0 151 NA NA 694 322 225 NA NA 784 346 276 NA NA
1459112400.0 1350.0 NA 133 222 0 NA NA 190 296 0 NA NA 538 774 964 NA NA 818 1069 1015 NA
1459112400.0 1352.0 NA 133 222 0 NA NA 189 296 0 NA NA 538 762 969 NA NA 604 834 1007 NA
1459112400.0 145.0 NA 203 262 0 NA NA 283 334 0 NA NA 2840 2851 249 NA NA 3268 2961 258 NA
1459112400.0 200.0 NA 79 192 0 NA NA 149 263 0 NA NA 688 1207 550 NA NA 1325 1802 569 NA
1459112400.0 21.0 NA 76 181 0 NA NA 148 244 0 NA NA 1854 1446 525 NA NA 1908 1519 540 NA
1459112400.0 24.0 NA 76 182 0 NA NA 148 242 0 NA NA 2190 2688 585 NA NA 2278 2782 601 NA
1459112400.0 250400.0 199 0 92 NA NA 280 0 152 NA NA 1241 318 345 NA NA 1416 338 368 NA NA
1459112400.0 250402.0 199 0 93 NA NA 278 0 153 NA NA 1341 324 371 NA NA 1525 344 396 NA NA
1459112400.0 250403.0 197 0 94 NA NA 278 0 153 NA NA 1190 310 330 NA NA 1464 328 356 NA NA
1459112400.0 250406.0 202 0 93 NA NA 282 0 153 NA NA 1063 317 294 NA NA 1317 334 322 NA NA
1459112400.0 250407.0 184 0 93 NA NA 260 0 154 NA NA 1030 267 323 NA NA 1206 285 352 NA NA
1459112400.0 250408.0 199 0 94 NA NA 278 0 153 NA NA 1310 315 374 NA NA 1488 335 408 NA NA
1459112400.0 250409.0 203 0 96 NA NA 286 0 153 NA NA 2433 468 641 NA NA 2667 501 748 NA NA
1459112400.0 25402.0 229 0 94 NA NA 321 0 153 NA NA 4804 440 499 NA NA 5359 518 568 NA NA
1459112400.0 28.0 NA 76 181 0 NA NA 148 243 0 NA NA 2088 2224 595 NA NA 2189 2304 616 NA
1459112400.0 302.0 66 148 232 0 NA 120 217 304 0 NA 2340 801 1044 258 NA 2477 891 1110 277 NA
1459112400.0 34.0 51 81 176 0 NA 99 146 237 0 NA 3769 421 555 480 NA 4020 468 598 493 NA
1459112400.0 38.0 NA 75 182 0 NA NA 148 243 0 NA NA 2140 2793 574 NA NA 2258 2865 597 NA
1459112400.0 4.23 NA 63 207 0 NA NA 110 267 0 NA NA 166 2385 621 NA NA 262 2509 662 NA
1459112400.0 4.34 NA 55 206 0 NA NA 108 267 0 NA NA 172 3189 574 NA NA 291 3324 610 NA
1459112400.0 4.58 NA 47 203 0 NA NA 86 265 0 NA NA 116 4736 567 NA NA 175 4907 590 NA
1459112400.0 4.72 NA 32 206 0 NA NA 78 269 0 NA NA 148 6324 538 NA NA 249 6637 559 NA
1459112400.0 4.77 NA 59 216 0 NA NA 99 291 0 NA NA 141 5779 784 NA NA 287 5995 813 NA
1459112400.0 43.0 NA 75 181 0 NA NA 148 243 0 NA NA 1936 2527 616 NA NA 2039 2602 637 NA
1459112400.0 500200.0 NA 135 229 0 NA NA 197 311 0 NA NA 5951 3094 728 NA NA 6470 3328 752 NA
1459112400.0 500200.1 61 97 160 NA NA 108 154 227 NA NA 7125 911 2234 NA NA 7303 1228 2330 NA NA
1459112400.0 500202.0 NA 109 228 0 NA NA 162 300 0 NA NA 4027 2364 527 NA NA 6236 2488 552 NA
1459112400.0 500207.0 NA 99 225 0 NA NA 157 293 0 NA NA 5171 2872 768 NA NA 5952 3082 808 NA
1459112400.0 50200.0 NA 96 252 0 NA NA 154 330 0 NA NA 1539 2823 574 NA NA 3219 3923 596 NA
1459112400.0 50203.0 NA 96 246 0 NA NA 154 324 0 NA NA 1469 2461 588 NA NA 3263 3565 614 NA
1459112400.0 50205.0 NA 96 253 0 NA NA 154 331 0 NA NA 1501 2560 574 NA NA 3212 3679 598 NA
1459112400.0 50206.0 NA 95 243 0 NA NA 153 322 0 NA NA 1466 2585 574 NA NA 3233 4453 608 NA
1459112400.0 50207.0 NA 95 248 0 NA NA 153 327 0 NA NA 1515 2324 561 NA NA 3276 3413 577 NA
1459112400.0 513.0 14 29 0 NA NA 117 65 0 NA NA 9 33 13 NA NA 2622 43 20 NA NA
1459112400.0 515.0 14 36 0 NA NA 117 66 0 NA NA 18 61 18 NA NA 6411 74 33 NA NA
1459112400.0 516.0 14 27 0 NA NA 117 66 0 NA NA 13 45 16 NA NA 4922 66 22 NA NA
1459112400.0 518.0 14 36 0 NA NA 117 66 0 NA NA 9 32 16 NA NA 6107 104 30 NA NA
1459112400.0 519.0 14 35 0 NA NA 117 65 0 NA NA 13 30 14 NA NA 2976 41 24 NA NA
1459112400.0 521.0 15 28 0 NA NA 117 66 0 NA NA 13 52 18 NA NA 4921 77 25 NA NA
1459112400.0 522.0 14 36 0 NA NA 117 66 0 NA NA 9 34 16 NA NA 6104 105 31 NA NA
1459112400.0 526.0 15 35 0 NA NA 117 66 0 NA NA 9 35 16 NA NA 6105 104 30 NA NA
1459112400.0 529.0 14 35 0 NA NA 117 66 0 NA NA 10 32 16 NA NA 6107 104 30 NA NA
