Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1458813600.0 1.0 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA
1458813600.0 10.0 NA 71 NA NA NA NA NA 161 NA NA NA NA NA 170 NA NA NA NA NA 167 NA NA NA NA
1458813600.0 1000.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1458813600.0 1001.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1458813600.0 1002.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1458813600.0 10021.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1458813600.0 10023.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1458813600.0 10024.0 NA 99 320 0 NA NA NA 183 384 0 NA NA NA 770 1332 505 NA NA NA 620 984 512 NA NA
1458813600.0 10025.0 NA 91 307 0 NA NA NA 183 372 0 NA NA NA 733 825 403 NA NA NA 628 737 432 NA NA
1458813600.0 10026.0 NA 98 318 0 NA NA NA 183 386 0 NA NA NA 1006 1405 395 NA NA NA 756 969 414 NA NA
1458813600.0 1003.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1458813600.0 1004.0 NA 336 332 0 0 0 NA 406 374 0 0 0 NA 842 1436 24 24 663 NA 666 1462 31 28 672
1458813600.0 101.0 99 NA NA NA NA NA 163 NA NA NA NA NA 583 NA NA NA NA NA 627 NA NA NA NA NA
1458813600.0 102.0 98 NA NA NA NA NA 162 NA NA NA NA NA 597 NA NA NA NA NA 609 NA NA NA NA NA
1458813600.0 10224.0 NA 179 515 0 NA NA NA 263 614 0 NA NA NA 2943 4933 509 NA NA NA 4432 5676 517 NA NA
1458813600.0 10225.0 NA 182 529 0 NA NA NA 260 632 0 NA NA NA 3966 4129 549 NA NA NA 5047 5496 561 NA NA
1458813600.0 103.0 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA
1458813600.0 105.0 75 78 24 NA NA NA 141 152 58 NA NA NA 2217 421 2 NA NA NA 984 324 10 NA NA NA
1458813600.0 106.0 36 0 0 NA NA NA 81 0 0 NA NA NA 420 153 325 NA NA NA 427 162 335 NA NA NA
1458813600.0 107.0 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA
1458813600.0 108.0 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA
1458813600.0 109.0 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA
1458813600.0 11.0 NA 68 NA NA NA NA NA 161 NA NA NA NA NA 178 NA NA NA NA NA 186 NA NA NA NA
1458813600.0 110.0 59 77 329 NA NA NA 116 152 395 NA NA NA 1304 467 567 NA NA NA 703 317 558 NA NA NA
1458813600.0 1102.0 NA 60 NA NA NA NA NA 161 NA NA NA NA NA 188 NA NA NA NA NA 188 NA NA NA NA
1458813600.0 111.0 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA
1458813600.0 112.0 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA
1458813600.0 113.0 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA
1458813600.0 114.0 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA
1458813600.0 115.0 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA
1458813600.0 116.0 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA
1458813600.0 117.0 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA
1458813600.0 118.0 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA
1458813600.0 119.0 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA
1458813600.0 12.0 NA 69 NA NA NA NA NA 161 NA NA NA NA NA 181 NA NA NA NA NA 183 NA NA NA NA
1458813600.0 120.0 60 77 327 NA NA NA 122 152 394 NA NA NA 884 407 549 NA NA NA 540 289 529 NA NA NA
1458813600.0 121.0 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA
1458813600.0 122.0 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA
1458813600.0 123.1 307 NA NA NA NA NA 404 NA NA NA NA NA 705 NA NA NA NA NA 552 NA NA NA NA NA
1458813600.0 123.2 309 NA NA NA NA NA 407 NA NA NA NA NA 896 NA NA NA NA NA 606 NA NA NA NA NA
1458813600.0 123.3 265 NA NA NA NA NA 345 NA NA NA NA NA 506 NA NA NA NA NA 457 NA NA NA NA NA
1458813600.0 124.1 293 NA NA NA NA NA 374 NA NA NA NA NA 540 NA NA NA NA NA 482 NA NA NA NA NA
1458813600.0 124.2 304 NA NA NA NA NA 400 NA NA NA NA NA 598 NA NA NA NA NA 567 NA NA NA NA NA
1458813600.0 124.4 296 NA NA NA NA NA 375 NA NA NA NA NA 502 NA NA NA NA NA 494 NA NA NA NA NA
1458813600.0 124.5 297 NA NA NA NA NA 377 NA NA NA NA NA 519 NA NA NA NA NA 503 NA NA NA NA NA
1458813600.0 124.6 267 NA NA NA NA NA 345 NA NA NA NA NA 506 NA NA NA NA NA 461 NA NA NA NA NA
1458813600.0 125.0 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA
1458813600.0 126.0 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA
1458813600.0 127.0 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA
1458813600.0 128.0 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA
1458813600.0 129.0 58 77 327 NA NA NA 109 152 394 NA NA NA 940 440 524 NA NA NA 572 328 485 NA NA NA
1458813600.0 13.0 NA 62 NA NA NA NA NA 161 NA NA NA NA NA 253 NA NA NA NA NA 321 NA NA NA NA
1458813600.0 130.0 59 78 327 NA NA NA 111 152 394 NA NA NA 1133 429 547 NA NA NA 613 298 505 NA NA NA
1458813600.0 1301.0 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA
1458813600.0 1302.0 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA
1458813600.0 1303.0 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA
1458813600.0 1306.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1458813600.0 1307.0 NA 136 182 46 0 NA NA 222 240 83 0 NA NA 487 689 82 288 NA NA 380 609 101 308 NA
1458813600.0 1308.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1458813600.0 1309.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1458813600.0 131.0 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA
1458813600.0 1310.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1458813600.0 1311.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1458813600.0 1312.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1458813600.0 1313.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1458813600.0 1314.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1458813600.0 1315.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1458813600.0 1316.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1458813600.0 1317.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1458813600.0 1318.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1458813600.0 1319.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1458813600.0 132.0 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA
1458813600.0 1320.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1458813600.0 1321.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1458813600.0 1322.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1458813600.0 1323.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1458813600.0 1324.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1458813600.0 1325.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1458813600.0 1326.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1458813600.0 1327.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
