Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1459033200.0 134.806 NA 155 392 0 NA 226 466 0 NA 2412 8172 325 NA 1028 2868 353
1459033200.0 134.808 NA 173 398 0 NA 253 466 0 NA 2867 9228 418 NA 1845 3674 432
1459033200.0 134.909 NA 139 356 0 NA 213 429 0 NA 1653 6058 319 NA 848 2211 326
1459033200.0 134.91 NA 138 355 0 NA 212 426 0 NA 1390 5594 320 NA 786 2108 326
1459033200.0 134.99602 NA 133 358 0 NA 203 429 0 NA 1097 5453 320 NA 738 2088 347
1459033200.0 135.1 362 0 101 NA 463 0 161 NA 1099 205 180 NA 840 213 170 NA
1459033200.0 135.2 309 0 96 NA 393 0 159 NA 646 217 145 NA 638 236 161 NA
1459033200.0 250207.0 NA 308 481 0 NA 388 577 0 NA 8716 3211 722 NA 4890 1952 738
1459033200.0 301.0 120 209 465 0 200 304 557 0 3695 765 1530 107 1390 531 1477 116
1459033200.0 4.77 NA 60 473 0 NA 104 555 0 NA 150 5393 487 NA 232 2134 494
1459033200.0 50204.0 NA 140 508 0 NA 203 594 0 NA 1425 3110 299 NA 1062 1769 305
1459033200.0 50205.0 NA 148 477 0 NA 209 559 0 NA 1279 2781 294 NA 984 1683 301
1459033200.0 50206.0 NA 137 500 0 NA 201 589 0 NA 1314 3017 296 NA 1104 1827 308
1459033200.0 50208.0 NA 151 518 0 NA 210 610 0 NA 1613 4484 283 NA 1045 2041 289
