Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1459069200.0 134.703 NA 42 222 0 NA 84 286 0 NA 165 6375 509 NA 231 6991 574
1459069200.0 134.709 NA 43 220 0 NA 84 285 0 NA 165 6471 500 NA 192 6995 557
1459069200.0 134.903 NA 114 215 0 NA 178 279 0 NA 1409 5254 476 NA 1494 6614 491
1459069200.0 134.905 NA 114 216 0 NA 181 279 0 NA 1413 5221 466 NA 1534 6644 480
1459069200.0 134.907 NA 139 231 0 NA 216 294 0 NA 2021 5694 489 NA 2220 7128 502
1459069200.0 134.909 NA 114 214 0 NA 179 279 0 NA 1591 5603 459 NA 1681 7020 475
1459069200.0 134.91 NA 117 215 0 NA 178 279 0 NA 1563 5243 563 NA 2864 5540 600
1459069200.0 134.911 NA 117 216 0 NA 181 279 0 NA 1612 5411 482 NA 1720 6870 513
1459069200.0 134.99602 NA 115 215 0 NA 175 278 0 NA 1081 5013 511 NA 1167 6429 524
1459069200.0 204.0 52 84 192 0 99 153 265 0 3429 729 1255 493 3570 1540 3232 519
1459069200.0 25406.0 233 0 94 NA 318 0 153 NA 2822 303 274 NA 3488 820 431 NA
1459069200.0 25407.0 214 0 94 NA 303 0 154 NA 2882 293 267 NA 6021 304 351 NA
1459069200.0 39.0 NA 77 185 0 NA 148 246 0 NA 1951 4988 532 NA 2048 6406 591
1459069200.0 4.52 NA 32 208 0 NA 77 274 0 NA 144 7221 432 NA 174 8795 448
1459069200.0 4.53 NA 32 205 0 NA 78 272 0 NA 134 6569 414 NA 170 8169 429
1459069200.0 4.55 NA 32 207 0 NA 77 271 0 NA 145 8466 494 NA 191 9927 540
1459069200.0 4.61 NA 37 219 0 NA 78 274 0 NA 160 7143 486 NA 207 7591 558
1459069200.0 4.75 NA 33 206 0 NA 78 271 0 NA 141 7064 425 NA 191 8637 459
1459069200.0 4.76 NA 57 210 0 NA 93 276 0 NA 123 6572 421 NA 159 7878 452
1459069200.0 4.78 NA 42 208 0 NA 86 275 0 NA 123 8251 452 NA 154 9523 467
1459069200.0 500200.0 NA 135 227 0 NA 200 311 0 NA 3912 2051 511 NA 4344 3318 547
1459069200.0 500200.1 61 108 160 NA 108 154 227 NA 4369 640 1491 NA 4533 905 2664 NA
1459069200.0 500205.0 NA 106 226 0 NA 162 293 0 NA 4003 1995 485 NA 4963 3878 502
1459069200.0 500207.0 NA 103 227 0 NA 154 293 0 NA 3739 1952 533 NA 5234 5483 556
1459069200.0 50200.0 NA 96 250 0 NA 154 328 0 NA 1472 2650 560 NA 4577 6678 594
1459069200.0 50202.0 NA 100 243 0 NA 155 330 0 NA 1483 2878 486 NA 3072 5708 504
1459069200.0 50203.0 NA 98 244 0 NA 154 324 0 NA 1469 2474 547 NA 3996 5310 680
1459069200.0 50204.0 NA 98 245 0 NA 152 329 0 NA 1444 2782 488 NA 2818 5019 508
1459069200.0 50205.0 NA 97 246 0 NA 156 332 0 NA 1491 2491 498 NA 2979 4743 526
1459069200.0 50206.0 NA 98 241 0 NA 153 321 0 NA 1491 2621 556 NA 4126 5359 679
1459069200.0 50207.0 NA 95 244 0 NA 153 327 0 NA 1407 2224 525 NA 4294 6202 565
