Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1459112400.0 1001.0 NA 174 0 NA NA NA 234 0 NA NA NA 2804 0 NA NA NA 2920 0 NA NA
1459112400.0 107.0 50 72 177 NA NA 99 146 243 NA NA 3214 372 502 NA NA 3595 447 753 NA NA
1459112400.0 108.0 53 NA NA NA NA 101 NA NA NA NA 6089 NA NA NA NA 6252 NA NA NA NA
1459112400.0 109.0 54 75 180 NA NA 101 146 243 NA NA 8844 612 921 NA NA 9019 657 984 NA NA
1459112400.0 1102.0 NA 76 183 105 62 NA 148 244 159 107 NA 2113 3091 1818 167 NA 2174 3191 2073 191
1459112400.0 112.0 53 73 176 NA NA 99 146 243 NA NA 3506 375 500 NA NA 4022 458 796 NA NA
1459112400.0 113.0 53 74 177 NA NA 100 146 243 NA NA 3319 371 539 NA NA 3677 463 800 NA NA
1459112400.0 114.0 52 NA NA NA NA 99 NA NA NA NA 3069 NA NA NA NA 3546 NA NA NA NA
1459112400.0 117.0 54 NA NA NA NA 100 NA NA NA NA 7560 NA NA NA NA 7708 NA NA NA NA
1459112400.0 119.0 52 74 177 NA NA 99 146 237 NA NA 3323 366 517 NA NA 3803 443 804 NA NA
1459112400.0 121.0 55 NA NA NA NA 100 NA NA NA NA 7543 NA NA NA NA 7685 NA NA NA NA
1459112400.0 122.0 50 NA NA NA NA 97 NA NA NA NA 4515 NA NA NA NA 5454 NA NA NA NA
1459112400.0 125.0 53 NA NA NA NA 100 NA NA NA NA 5458 NA NA NA NA 5597 NA NA NA NA
1459112400.0 1303.0 63 124 153 NA NA 111 175 227 NA NA 8985 647 1194 NA NA 9327 758 2173 NA NA
1459112400.0 1308.0 NA 113 NA NA NA NA 182 NA NA NA NA 432 NA NA NA NA 513 NA NA NA
1459112400.0 1309.0 NA 131 219 0 NA NA 194 296 0 NA NA 579 868 0 NA NA 693 1258 0 NA
1459112400.0 1312.0 NA 130 221 0 NA NA 195 296 0 NA NA 616 822 881 NA NA 678 1077 1011 NA
1459112400.0 1321.0 NA 129 218 0 NA NA 188 295 0 NA NA 510 714 718 NA NA 602 921 821 NA
1459112400.0 1324.0 NA 132 219 0 NA NA 194 296 0 NA NA 585 868 0 NA NA 728 1226 0 NA
1459112400.0 1329.0 NA 129 217 0 NA NA 192 296 0 NA NA 517 742 0 NA NA 768 1169 0 NA
1459112400.0 133.0 55 82 183 NA NA 102 146 243 NA NA 10293 654 941 NA NA 10548 716 991 NA NA
1459112400.0 134.701 NA 35 214 NA NA NA 85 278 NA NA NA 145 4150 NA NA NA 200 5651 NA NA
1459112400.0 134.702 NA 36 209 0 NA NA 82 272 0 NA NA 154 9034 668 NA NA 189 9432 683 NA
1459112400.0 134.703 NA 35 218 0 NA NA 85 285 0 NA NA 167 6445 545 NA NA 252 6879 572 NA
1459112400.0 134.704 NA 36 212 0 NA NA 84 276 0 NA NA 170 8533 670 NA NA 203 8924 684 NA
1459112400.0 134.705 NA 35 218 0 NA NA 84 281 0 NA NA 162 6905 537 NA NA 195 7319 554 NA
1459112400.0 134.707 NA 37 210 0 NA NA 83 276 0 NA NA 158 8447 680 NA NA 189 8833 701 NA
1459112400.0 134.708 NA 37 210 0 NA NA 82 274 0 NA NA 164 7979 698 NA NA 256 8364 734 NA
1459112400.0 134.709 NA 39 220 0 NA NA 85 285 0 NA NA 166 8880 678 NA NA 221 9213 697 NA
1459112400.0 134.71 NA 30 207 NA NA NA 79 272 NA NA NA 146 3939 NA NA NA 176 5541 NA NA
1459112400.0 134.801 NA 112 213 0 NA NA 176 279 0 NA NA 1568 6530 721 NA NA 1641 6841 741 NA
1459112400.0 134.802 NA 114 219 NA NA NA 177 284 NA NA NA 2990 9444 NA NA NA 3093 9617 NA NA
1459112400.0 134.803 NA 117 219 NA NA NA 178 283 NA NA NA 2737 8477 NA NA NA 2855 8684 NA NA
1459112400.0 134.804 NA 114 228 NA NA NA 178 294 NA NA NA 3030 9196 NA NA NA 3147 9399 NA NA
1459112400.0 134.805 NA 118 NA NA NA NA 185 NA NA NA NA 2327 NA NA NA NA 2647 NA NA NA
