Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1458338400.0 1.0 59 90 145 NA NA NA NA 103 147 186 NA NA NA NA 3839 632 529 NA NA NA NA 3874 684 545 NA NA NA NA
1458338400.0 10.0 NA 98 213 0 NA NA NA NA 155 264 0 NA NA NA NA 4235 4152 984 NA NA NA NA 4281 4220 999 NA NA NA
1458338400.0 1000.0 NA 227 133 0 55 NA NA NA 287 178 0 81 NA NA NA 4098 685 846 153 NA NA NA 4408 728 862 169 NA NA
1458338400.0 1001.0 NA 204 218 0 0 0 0 NA 253 243 0 0 0 0 NA 3746 553 89 95 1066 47 NA 3797 579 107 98 1070 52
1458338400.0 1002.0 NA 227 73 NA NA NA NA NA 288 100 NA NA NA NA NA 4098 239 NA NA NA NA NA 4150 248 NA NA NA NA
1458338400.0 10021.0 NA 90 206 0 NA NA NA NA 178 276 0 NA NA NA NA 1075 1688 787 NA NA NA NA 1543 1782 809 NA NA NA
1458338400.0 10023.0 NA 103 205 0 NA NA NA NA 179 275 0 NA NA NA NA 977 1095 732 NA NA NA NA 1370 1168 751 NA NA NA
1458338400.0 10024.0 NA 95 214 0 NA NA NA NA 179 277 0 NA NA NA NA 1142 1493 813 NA NA NA NA 1353 1553 843 NA NA NA
1458338400.0 10025.0 NA 92 203 0 NA NA NA NA 179 275 0 NA NA NA NA 1015 1163 751 NA NA NA NA 1086 1241 924 NA NA NA
1458338400.0 10026.0 NA 99 209 0 NA NA NA NA 179 277 0 NA NA NA NA 1093 1783 808 NA NA NA NA 1572 2117 828 NA NA NA
1458338400.0 1003.0 NA 197 0 NA NA NA NA NA 260 0 NA NA NA NA NA 6093 592 NA NA NA NA NA 6181 602 NA NA NA NA
1458338400.0 1004.0 NA 189 172 0 0 0 NA NA 242 194 0 0 0 NA NA 931 262 93 94 1094 NA NA 959 270 105 98 1102 NA
1458338400.0 101.0 88 NA NA NA NA NA NA 143 NA NA NA NA NA NA 2391 NA NA NA NA NA NA 2429 NA NA NA NA NA NA
1458338400.0 102.0 91 NA NA NA NA NA NA 143 NA NA NA NA NA NA 1754 NA NA NA NA NA NA 1807 NA NA NA NA NA NA
